content	x	y	w	h	
In	401	276	23	22	
vocal	436	278	66	21	
music	513	279	74	20	
would	599	277	72	20	
mean	683	283	66	14	
Missa	763	278	70	19	
di	844	277	22	20	
Voce	875	277	62	20	
(which	948	275	82	27	
see)	1040	274	48	28	
Instrumental	1107	273	161	22	
music	213	315	72	19	
it	295	314	16	20	
would	323	313	73	20	
also	406	313	47	20	
mean	466	319	66	14	
crescendo	544	312	122	21	
and	679	312	44	20	
diminuendo.	734	312	151	20	
Hold,	339	347	64	24	
a	416	354	13	14	
character	439	347	116	21	
indicating	567	348	123	26	
that	699	348	47	20	
the	758	348	37	20	
time	803	350	54	18	
of	869	347	22	20	
the	903	347	37	21	
note,	951	350	59	20	
or	1023	353	24	14	
rest	1059	349	46	18	
is	1116	347	21	20	
to	1149	349	20	18	
be	1178	346	28	19	
pro	1218	351	37	19	
longed	214	384	81	26	
;	304	381	4	29	
To	340	384	32	19	
such	384	384	56	21	
length	452	384	76	26	
of	541	384	22	20	
time	579	385	54	19	
as	643	389	26	14	
the	681	383	37	20	
director,	729	384	102	23	
leader	845	383	73	20	
or	930	389	23	14	
performer	964	383	125	25	
may	1099	388	54	19	
desire	1164	381	72	20	
to	1247	384	22	17	
give	215	422	49	25	
the	276	419	38	21	
best	324	419	50	20	
effect	386	419	69	21	
to	468	422	21	18	
the	503	419	37	20	
music.	556	420	79	19	
Segno.	351	452	84	28	
A	465	452	20	21	
sign	497	455	49	24	
showing	558	453	103	26	
that	671	453	47	21	
the	734	453	37	20	
music	782	455	74	19	
is	867	455	20	19	
to	903	457	21	17	
be	935	454	28	19	
repeated	973	453	107	25	
from	1095	453	57	20	
the	1165	452	37	21	
sign	1217	453	50	25	
above	214	507	71	20	
indicated.	301	507	121	21	
Repeat	368	544	85	27	
preceding	464	546	121	25	
measure.	600	551	112	15	
Is	329	615	21	21	
double	362	616	80	20	
sharp.	453	615	74	26	
Repeat	852	666	87	25	
signs	949	667	62	24	
in	1022	667	21	19	
different	1052	664	103	22	
arrange	1162	671	92	20	
ments	829	697	74	18	
of	916	694	22	20	
music,	949	695	80	23	
instrumental	1049	694	158	20	
and	1226	694	43	20	
vocal.	829	723	73	20	
Redite.	341	769	86	20	
Repeat	442	769	86	25	
words.	539	769	79	20	
Thumb	741	769	89	19	
(pfts-music.)	843	766	157	28	
American	1010	769	120	19	
Fingering.	1141	769	119	24	
Added	310	821	78	21	
lines	399	821	57	21	
to	468	824	21	18	
call	514	821	44	20	
attention	569	822	109	20	
to	690	823	21	18	
repetition	723	822	117	25	
dots.	849	821	56	20	
Bis	924	821	38	19	
is	974	821	19	19	
also	1003	821	48	19	
sometimes	1070	822	133	19	
used	1215	820	54	20	
as	282	884	26	15	
a	320	884	13	14	
repeat	342	880	78	23	
mark.	436	878	64	19	
Mordent	309	951	105	20	
and	424	950	44	20	
Praller.	595	950	85	20	
Breathing	789	944	122	26	
Mark.	922	944	64	20	
tr	299	1008	23	19	
Trill:	332	1004	59	22	
consists	410	1006	97	20	
of	518	1005	23	20	
a	552	1012	13	13	
rapid	581	1005	61	25	
alteration	660	1005	117	19	
of	793	1002	23	20	
the	827	1002	36	20	
printed	876	1000	86	26	
note	974	1003	52	18	
and	1045	1000	43	21	
the	1105	1000	36	21	
next	1152	1003	53	18	
note	1217	1004	52	17	
above,	216	1043	79	23	
to	308	1045	22	17	
the	342	1041	37	21	
value	389	1041	71	20	
of	471	1040	23	21	
the	504	1040	37	21	
printed	550	1041	86	24	
note.	645	1042	60	18	
This	1409	271	54	21	
sign	1473	274	51	24	
indicates	1535	272	110	20	
the	1656	269	38	24	
continuation	1701	273	155	19	
of	1865	272	24	20	
the	1901	271	37	21	
trill,	1949	269	50	26	
or	2011	278	24	14	
an	2046	278	29	14	
octave.	2084	274	92	19	
Repeat	1357	307	87	26	
figure	1454	307	73	26	
of	1538	307	23	20	
eight	1572	306	61	27	
notes.	1644	309	71	18	
Repeat	1814	306	87	26	
preceding	1910	307	122	26	
figure	2042	307	73	26	
of	2126	307	23	20	
sixteen	2159	309	87	19	
notes.	2255	310	72	18	
A	1531	350	19	19	
stave.	1636	352	72	18	
A	1901	347	18	21	
bar.	1930	349	48	21	
A	2141	349	19	20	
double	2171	349	80	21	
bar.	2261	350	50	20	
Grace	2199	406	73	20	
notes.	2287	406	70	25	
The	1452	461	48	20	
coda	1511	461	58	20	
mark.	1579	461	72	21	
First	1683	461	56	20	
time	1751	462	56	19	
of	1818	461	22	20	
playing	1851	461	92	26	
disregard	1953	461	115	26	
the	2084	460	37	21	
sign.	2129	462	57	25	
Second	2218	457	91	24	
time	2320	459	58	22	
after	1320	504	56	20	
D.	1390	504	27	19	
C.	1430	504	25	19	
skip	1477	504	49	25	
from	1537	504	59	19	
this	1608	503	44	20	
sign	1663	504	50	25	
to	1725	506	21	17	
the	1758	502	39	21	
coda,	1805	502	65	24	
Sometimes	1901	503	139	20	
the	2054	502	38	21	
sign	2103	504	50	24	
is	2164	503	19	20	
also	2194	501	48	22	
placed	2253	501	81	27	
at	2353	505	24	18	
the	1321	545	39	20	
coda.	1369	546	64	20	
Coda	1403	593	62	21	
(It.)	1474	591	46	28	
(ko~da.)	1538	591	96	28	
The	1652	592	49	22	
end;	1712	593	49	23	
a	1774	600	14	14	
few	1796	593	44	20	
bars	1850	593	53	21	
added	1913	591	73	22	
to	1997	595	21	18	
the	2032	593	37	20	
end	2080	591	43	22	
of	2133	593	26	20	
a	2167	599	13	14	
piece	2192	594	65	25	
of	2265	592	27	21	
music	2305	593	75	21	
to	1320	638	21	19	
make	1350	636	68	20	
a	1429	642	13	14	
more	1453	642	63	13	
effective	1528	636	106	20	
termination.	1644	636	151	20	
From	1812	635	66	20	
the	1890	635	37	20	
Latin,	1939	636	71	22	
“Cauda”—a	2021	634	156	24	
tail.	2186	635	47	21	
The	2256	635	49	20	
coda,	2312	635	64	20	
originally	1320	678	119	26	
a	1449	684	14	14	
few	1471	678	44	19	
added	1526	678	74	20	
chords	1610	677	82	21	
after	1702	678	56	20	
the	1772	677	37	20	
completion	1817	678	137	25	
of	1965	677	23	20	
the	1999	676	39	21	
musical	2049	677	97	20	
form.	2153	677	67	20	
CLEFS.	1758	725	101	21	
Clefs	1909	724	64	22	
are	1995	731	38	14	
keys	2045	725	56	25	
or	2112	730	24	14	
characters	2151	724	130	21	
used	2289	724	56	20	
to	2355	727	21	17	
determine	1758	753	127	21	
the	1896	753	38	21	
name	1946	760	68	14	
of	2026	753	22	20	
pitch	2060	753	60	25	
or	2132	759	25	14	
the	2178	752	37	21	
notes	2225	756	65	18	
on	2301	759	28	13	
the	2341	752	37	20	
staff	1757	782	54	20	
to	1823	784	21	18	
which	1855	782	74	20	
it	1946	783	18	19	
is	1983	782	19	20	
prefixed.	2020	781	108	26	
The	2158	781	48	20	
clef	2216	781	44	20	
began	2270	781	73	26	
in	2356	782	21	18	
music	1321	853	74	20	
about	1404	853	68	20	
900;	1482	852	50	24	
there	1545	852	63	21	
were	1615	858	60	15	
then	1687	850	49	26	
no	1748	850	25	26	
notes.	1785	850	75	26	
G	1879	850	21	23	
Clef,	1913	850	61	26	
C	1985	852	18	21	
Clef	2013	851	51	22	
and	2073	852	46	21	
F	2132	852	16	20	
Clef.	2159	852	56	20	
Signatures.	1513	896	140	24	
Figures	1684	895	93	26	
or	1785	901	24	14	
signs	1821	896	63	25	
in	1899	896	22	19	
the	1933	894	38	21	
form	1982	895	58	20	
of	2053	895	22	20	
a	2084	901	14	14	
fraction,	2105	895	102	22	
placed	2218	893	79	27	
at	2305	896	23	17	
th	2340	885	24	28	
e	2366	892	12	13	
beginning	1512	931	123	25	
of	1645	930	23	21	
a	1680	937	14	14	
piece	1704	932	63	24	
of	1779	931	23	20	
music	1812	932	73	19	
to	1895	934	21	17	
indicate	1927	930	98	21	
the	2034	930	37	21	
time,	2082	931	62	22	
but	2157	930	39	19	
very	2204	935	55	20	
little	2268	929	56	20	
now	2330	934	50	14	
Time:	1539	965	71	21	
That	1626	965	59	21	
which	1694	965	74	21	
governs	1780	972	97	20	
the	1889	965	36	21	
measure	1934	972	105	14	
of	2048	965	23	20	
sounds	2081	965	84	21	
in	2176	965	22	19	
regard	2207	964	79	27	
to	2294	967	21	17	
their	2323	963	57	21	
continuence	1320	1003	152	20	
or	1484	1008	24	13	
duration.	1518	1002	111	20	
The	1659	1002	49	19	
speed	1715	1001	68	26	
of	1794	1002	23	20	
rythm.	1828	1000	84	28	
The	1943	1001	49	20	
rapidity	2002	1000	96	27	
with	2113	1000	53	21	
which	2176	998	72	22	
the	2259	999	39	20	
natu	2315	1002	52	17	
ral	1321	1037	35	20	
accents	1367	1040	94	18	
follow	1471	1036	78	21	
each	1560	1036	56	21	
other.	1628	1036	70	21	
CANON.	723	1134	193	35	
A	941	1133	35	32	
Round;	998	1134	149	38	
four	1162	1134	87	33	
Parts	1257	1136	102	31	
in	1371	1136	36	31	
One.	1423	1135	93	32	
7S.	1564	1133	57	39	
Welcome,	354	1354	126	22	
welcome,	492	1353	116	22	
ev'-ry	622	1353	73	25	
guest,	709	1355	71	23	
Welcome	799	1350	116	21	
to	946	1353	21	17	
our	983	1357	39	13	
music	1080	1351	73	20	
feast:	1182	1351	64	21	
Mu	1279	1353	38	19	
-	1328	1362	9	3	
sic	1348	1352	33	20	
is	1438	1351	19	20	
our	1515	1356	40	14	
on	1584	1357	28	14	
-	1623	1348	10	30	
ly	1643	1348	21	30	
cheer,	1694	1350	75	24	
Fills	1800	1349	53	21	
both	1864	1348	54	21	
soul	1929	1349	49	20	
and	2000	1349	44	21	
rav	2072	1355	41	15	
-	2122	1360	10	3	
ish'd	2142	1348	58	21	
ear.	2223	1354	44	14	
Sa-cred	330	1535	94	23	
Nine,	436	1536	65	22	
teach	515	1533	65	22	
us	610	1539	27	16	
the	668	1533	36	21	
mood,	715	1532	74	24	
—Sweetest	792	1531	138	22	
notes	941	1535	64	18	
to	1014	1534	21	18	
be	1065	1532	28	20	
ex-plored,-Soft	1123	1532	191	26	
-ly	1324	1532	41	26	
swell	1423	1532	61	21	
the	1514	1531	37	21	
tremb-ling	1567	1532	129	25	
air,	1717	1532	39	22	
To	1815	1531	32	20	
complete	1877	1531	112	25	
our	2019	1536	40	14	
con-cert	2070	1533	101	18	
fair.	2200	1531	50	19	
FIRE	855	1587	110	33	
ALARM.	987	1586	189	34	
In	1203	1587	43	33	
Four	1259	1587	98	33	
Parts,	1378	1587	114	36	
Bells	358	1781	61	21	
are	430	1787	38	14	
ringing,	480	1781	95	26	
What’s	590	1778	89	22	
the	691	1779	37	21	
matter,	741	1782	88	20	
See	842	1779	45	20	
the	899	1778	37	21	
smoke	946	1778	80	20	
and	1038	1778	44	20	
hear	1092	1777	54	21	
the	1159	1777	37	20	
clatter,	1207	1778	87	22	
Fire,	1308	1778	55	22	
Fire,	1422	1777	57	23	
Fire,	1494	1776	55	23	
Fire,	1638	1776	55	22	
Pour	1741	1776	57	19	
on	1808	1782	27	13	
wa-ter	1903	1778	78	17	
Pour	2040	1772	55	22	
on	2128	1780	28	14	
wa-ter.	2213	1776	86	19	
20	255	216	42	32	
RUDIMENTS.	983	208	307	36	
Continued.	1378	208	225	33	
