content	x	y	w	h	
CALL	1016	206	127	33	
JOHN.	1185	207	144	35	
For	586	253	42	20	
singing	643	254	89	25	
classes	749	253	86	21	
and	845	254	44	21	
training	901	256	97	25	
purposes	1007	261	108	21	
and	1125	257	45	21	
should	1185	257	81	21	
be	1275	259	28	20	
used	1316	259	55	21	
by	1380	260	30	25	
all	1421	259	29	21	
teachers	1463	259	104	22	
in	1578	261	21	19	
their	1611	259	55	23	
classes.	1680	260	88	22	
John!	360	454	73	20	
John.	475	454	70	26	
John!	605	454	70	28	
John!	1002	458	76	22	
John!	1138	454	73	32	
O	1226	454	14	32	
John!	1256	454	262	32	
O	1570	454	53	32	
John!	1675	454	223	32	
O	1911	463	18	20	
John!	1937	454	70	32	
can	2021	469	42	14	
you	2074	468	45	18	
tell	2129	463	39	20	
us	2180	468	26	15	
?	2213	462	12	20	
John!	400	642	75	21	
John!	601	642	72	28	
John!	686	644	69	27	
John!	829	645	68	27	
John!.....................	1041	646	70	28	
O	1761	642	15	32	
John!	1791	642	76	32	
Call	288	838	49	20	
John	348	838	64	20	
!	423	837	3	27	
John!	445	838	75	21	
Loud	539	839	61	20	
-	656	850	10	4	
er,	710	846	31	17	
loud,	753	840	59	24	
-er,	830	848	40	16	
loud	887	842	52	20	
-	950	852	7	3	
er,	969	849	31	15	
loud-er,	1011	842	93	22	
louder!	1118	837	89	27	
John	1226	837	51	27	
!	1290	837	12	27	
John	1315	837	50	27	
!	1374	844	5	20	
John	1393	844	56	20	
!	1458	837	4	27	
O	1757	846	17	18	
John!	1795	845	65	19	
Call	287	1058	48	21	
John	343	1058	103	35	
!	472	1058	26	35	
John!	524	1058	129	35	
John!	665	1060	74	21	
John!	784	1061	74	21	
John!	975	1058	60	35	
..............................	1035	1058	360	35	
Well,	1407	1065	63	23	
well,	1480	1065	57	24	
what	1549	1066	59	20	
d'ye	1617	1066	51	26	
want	1676	1070	60	16	
of	1749	1066	22	20	
John,	1783	1066	70	23	
O	1865	1066	19	21	
John	1896	1066	57	27	
!	1962	1058	4	35	
Tell	2124	1065	49	23	
you	2183	1072	47	21	
O	489	1262	9	34	
John!	512	1262	69	34	
Can	685	1263	50	21	
you	746	1271	45	19	
tell	802	1265	38	21	
us	849	1272	26	14	
?	883	1265	11	21	
Can	924	1266	47	20	
you	982	1272	45	20	
tell	1037	1267	36	20	
us?	1085	1267	44	20	
Can	1187	1267	47	20	
you	1242	1274	45	19	
tell	1299	1268	38	19	
us	1348	1274	26	13	
?	1383	1267	11	20	
Tell	1444	1268	47	20	
us	1503	1275	26	14	
how,	1539	1268	57	24	
how	1656	1269	49	20	
to	1717	1272	21	17	
sing	1750	1270	50	25	
this	1886	1269	43	21	
song.	1954	1275	64	21	
O	369	1443	19	20	
John!	408	1442	70	25	
O	283	1624	19	20	
John!	315	1623	69	28	
Can	670	1628	47	21	
you	727	1634	45	20	
tell	783	1628	38	21	
us?	833	1629	40	21	
Can	931	1630	48	21	
you	989	1636	46	20	
tell	1047	1630	38	21	
us?	1098	1630	39	21	
Can	1195	1630	47	21	
you	1253	1637	46	20	
tell	1310	1631	38	21	
us?	1356	1631	40	21	
tell	1454	1632	37	21	
us	1502	1639	26	14	
how,	1536	1632	57	24	
how	1667	1633	50	21	
to	1728	1637	22	17	
sing	1762	1635	50	25	
this	1875	1633	44	21	
song.	1957	1639	64	21	
what?	209	1818	76	35	
I,	511	1820	16	24	
John!	539	1820	64	28	
John!	614	1821	64	28	
John!	686	1820	68	29	
Tell	812	1823	48	20	
you	870	1829	45	19	
what?	924	1823	73	21	
Tell	1063	1824	49	21	
you	1122	1830	46	19	
what?	1178	1824	73	21	
Tell	1306	1825	49	21	
you	1365	1832	46	21	
what?	1423	1825	73	21	
How	1527	1825	57	21	
to	1594	1830	22	17	
what?	1626	1827	73	21	
sing	1785	1829	50	24	
what?	1846	1827	73	21	
How	2013	1827	57	20	
to	2081	1829	21	18	
sing	2114	1828	50	25	
this	2175	1827	44	21	
21	2166	206	46	40	
