content	x	y	w	h	
27	558	315	114	91	
Honey	1167	471	237	86	
In	1476	469	48	86	
the	1587	467	126	86	
Rock	1757	464	176	87	
.	1945	463	26	87	
–	1990	463	26	87	
Concluded	2052	461	384	84	
.	2452	457	26	87	
12	730	654	23	1	
way	786	880	125	71	
.	911	878	21	72	
There	1030	877	159	70	
is	1255	874	41	72	
hon	1414	872	104	71	
-	1568	871	21	72	
ey	1639	870	55	71	
in	1858	867	55	72	
the	2077	865	93	71	
Rock	2224	863	141	71	
for	2503	860	74	71	
thee	2734	857	120	71	
.	2857	855	21	72	
My	1361	1273	184	126	
Jesus	1598	1271	264	124	
Knows	1904	1267	349	123	
.	2235	1264	38	126	
Rev	677	1398	94	64	
.	776	1397	19	65	
G	816	1396	19	65	
.	862	1396	19	65	
W	901	1395	19	65	
.	954	1395	19	65	
CROFTS	996	1394	190	63	
.	1192	1392	19	65	
D	2562	1365	23	76	
.	2600	1366	23	76	
B	2654	1366	23	76	
.	2685	1366	23	76	
TOWNER	2737	1366	211	77	
.	2962	1367	23	76	
1	752	1769	22	74	
.	774	1769	22	74	
How	831	1767	128	74	
blest	987	1766	149	73	
the	1151	1765	96	73	
thought	1263	1763	236	72	
that	1511	1760	120	73	
Jesus	1647	1759	159	72	
knows	1820	1757	202	72	
Each	2052	1754	123	73	
wind	2214	1752	140	73	
that	2388	1750	123	73	
round	2520	1748	171	73	
me	2703	1745	110	75	
rude	2813	1745	144	73	
-	2949	1743	22	74	
ly	2970	1743	56	74	
2	754	1837	21	69	
.	782	1837	21	69	
The	848	1836	99	69	
bit	1013	1835	90	68	
-	1125	1834	21	69	
ter	1187	1834	80	68	
cups	1292	1833	131	68	
that	1446	1832	124	68	
I	1594	1830	21	69	
must	1663	1830	164	68	
drain	1842	1828	146	68	
,	2000	1827	21	69	
The	2052	1827	109	68	
thoughts	2174	1826	252	67	
that	2457	1823	112	68	
rack	2587	1823	115	68	
my	2720	1821	115	68	
weary	2844	1820	173	68	
3	755	1905	21	69	
.	783	1905	21	69	
The	852	1904	99	69	
cross	1002	1903	133	68	
that	1167	1902	122	68	
I	1357	1900	21	69	
must	1398	1900	164	68	
dai	1584	1898	90	69	
-	1700	1897	21	69	
ly	1741	1898	52	68	
bear	1836	1897	127	67	
,	1959	1895	21	69	
The	2053	1895	99	68	
deep	2214	1893	125	69	
anx	2389	1892	109	68	
-	2526	1890	21	69	
i	2575	1890	21	69	
-	2617	1890	21	69	
e	2673	1890	21	69	
-	2743	1889	21	69	
ty	2805	1888	52	69	
and	2921	1888	99	68	
4	751	1977	22	74	
.	781	1977	22	74	
The	844	1976	106	73	
long	1000	1974	126	73	
-	1126	1973	22	74	
ings	1165	1972	112	73	
that	1304	1971	123	73	
pervade	1454	1969	234	72	
my	1705	1965	109	74	
breast	1826	1965	176	72	
,	2003	1963	22	74	
To	2069	1962	56	73	
reach	2197	1960	145	73	
my	2365	1957	109	75	
home	2494	1957	168	72	
and	2677	1955	106	73	
be	2809	1953	69	74	
at	2947	1952	55	73	
blows	779	2657	180	64	
,	957	2656	19	65	
Each	1003	2655	136	64	
tide	1174	2653	112	65	
of	1309	2653	61	64	
grief	1388	2652	138	64	
that	1543	2651	126	64	
o	1683	2649	19	65	
'	1716	2649	19	65	
er	1741	2649	49	65	
me	1803	2649	97	64	
flows	1918	2648	144	63	
,	2059	2647	19	65	
He	2120	2646	96	65	
knows	2247	2645	204	64	
,	2442	2643	19	65	
my	2493	2643	108	64	
Je	2623	2642	61	65	
-	2693	2642	19	65	
sus	2731	2641	93	64	
knows	2835	2640	200	64	
.	3043	2638	19	65	
brain	772	2725	159	72	
,	937	2723	22	74	
The	1015	2722	107	73	
efforts	1191	2720	183	72	
that	1393	2718	123	73	
seem	1546	2716	116	73	
all	1708	2714	75	73	
in	1809	2713	42	74	
vain	1911	2712	105	73	
,	2032	2710	22	74	
He	2127	2708	96	75	
knows	2260	2708	203	72	
,	2452	2705	22	74	
my	2499	2704	109	74	
Je	2628	2703	69	74	
-	2691	2703	22	74	
sus	2738	2702	85	73	
knows	2841	2701	203	72	
.	3036	2699	22	74	
care	776	2797	118	64	
,	900	2796	19	65	
The	1021	2794	103	64	
crown	1149	2793	169	63	
of	1337	2790	61	65	
thorns	1413	2790	193	63	
I	1626	2787	19	65	
too	1657	2787	85	64	
must	1750	2785	154	64	
wear	1920	2784	145	63	
,	2061	2782	19	65	
He	2128	2780	96	66	
knows	2250	2780	203	63	
,	2451	2777	19	65	
my	2496	2776	108	65	
Je	2631	2775	61	65	
-	2695	2775	19	65	
sus	2733	2774	94	64	
knows	2847	2773	193	63	
.	3038	2770	19	65	
rest	783	2861	105	73	
