content	x	y	w	h	
No	924	519	142	154	
.	1058	520	45	154	
60	1122	520	86	154	
.	1212	520	45	154	
When	1391	520	265	155	
the	1724	521	131	155	
Mists	1907	523	257	153	
have	2218	524	194	153	
Cleared	2480	524	317	154	
away	2852	525	223	154	
.	3095	526	45	153	
ANNIE	1062	682	192	77	
HERBERT	1292	682	286	78	
.	1575	683	22	77	
R	2742	685	20	66	
.	2775	686	20	66	
M	2829	687	20	67	
.	2883	687	20	67	
MCINTOSH	2924	688	307	72	
.	3246	693	20	67	
1	1183	1055	21	71	
When	1242	1055	159	71	
the	1428	1055	92	72	
mists	1525	1056	166	71	
have	1701	1056	128	71	
rolled	1848	1057	151	71	
in	2033	1057	39	71	
splen	2109	1057	140	72	
-	2263	1058	21	71	
dor	2281	1058	102	71	
From	2433	1058	121	71	
the	2595	1059	102	71	
sum	2740	1059	92	71	
-	2916	1059	21	71	
mit	2989	1060	112	72	
of	3160	1060	53	72	
the	3276	1060	93	73	
2	1188	1126	18	65	
If	1294	1126	35	65	
we	1433	1127	83	65	
err	1552	1127	73	65	
in	1708	1127	47	65	
hu	1866	1128	70	65	
-	1946	1128	17	65	
man	1959	1128	127	65	
blindness	2107	1128	275	66	
,	2389	1129	17	65	
And	2431	1129	119	65	
for	2602	1130	74	65	
-	2702	1130	17	65	
get	2744	1130	82	65	
that	3001	1131	115	65	
we	3149	1131	83	65	
are	3285	1131	82	66	
3	1185	1193	17	60	
When	1243	1193	163	60	
the	1441	1194	85	60	
mists	1533	1194	160	60	
shall	1702	1194	144	61	
rise	1869	1195	93	60	
a	2029	1195	17	60	
-	2084	1195	17	60	
bove	2130	1195	129	61	
us	2291	1196	67	60	
,	2359	1196	16	60	
As	2443	1196	76	60	
our	2593	1197	94	60	
Fa	2750	1197	66	60	
-	2890	1197	17	60	
ther	2981	1198	113	60	
knows	3102	1198	193	60	
his	3298	1198	86	61	
hills	1246	1866	132	71	
,	1379	1879	24	62	
dust	1244	1935	139	71	
;	1394	1947	21	61	
And	1597	1868	115	62	
the	1785	1868	89	63	
sun	1939	1869	88	62	
-	2060	1869	18	62	
shine	2104	1869	154	63	
,	2256	1870	18	62	
warm	2335	1870	129	62	
and	2536	1870	98	63	
ten	2703	1871	71	62	
-	2825	1871	17	62	
der	2884	1871	88	63	
If	1602	1935	35	64	
we	1793	1935	83	65	
miss	1914	1936	130	64	
the	2121	1936	82	64	
law	2339	1937	82	64	
of	2549	1937	58	66	
kind	2683	1938	129	65	
-	2834	1938	18	65	
ness	2872	1938	118	66	
,	2997	1939	17	65	
Face	1590	2005	129	62	
to	1815	2006	34	62	
face	1935	2006	100	62	
with	2108	2006	122	63	
those	2330	2007	141	62	
that	2526	2007	119	63	
love	2699	2008	112	62	
us	2896	2008	58	62	
,	2957	2009	18	62	
Falls	3089	1872	140	62	
in	3300	1872	34	62	
When	3076	1947	171	51	
we	3278	1952	80	49	
We	3085	2013	110	50	
shall	3246	2013	139	51	
own	1249	2020	117	46	
,	1374	2020	12	46	
beau	1232	2630	127	60	
-	1439	2631	17	60	
ty	1540	2631	54	60	
on	1662	2631	55	60	
the	1798	2631	95	61	
