content	x	y	w	h	
No	662	271	106	144	
.	767	271	42	144	
109	848	271	125	144	
.	957	271	42	144	
There	1280	272	227	144	
is	1549	272	54	144	
Glory	1640	272	232	144	
in	1928	273	54	144	
my	2022	273	160	143	
Soul	2214	273	189	144	
.	2373	273	42	144	
E	712	432	18	65	
.	745	431	18	65	
A	784	431	18	65	
.	817	431	18	65	
H	864	431	18	65	
.	903	430	18	65	
REV	2165	414	112	77	
.	2281	413	23	78	
ELISHA	2326	413	207	77	
A	2565	411	23	78	
.	2605	411	23	78	
HOFFMAN	2636	411	289	76	
.	2937	408	23	78	
1	773	755	20	69	
.	794	755	20	69	
Cleared	843	755	225	68	
from	1104	754	113	69	
all	1259	754	79	68	
my	1381	753	114	69	
sin	1566	752	69	69	
,	1648	752	20	69	
my	1710	752	114	69	
con	1871	751	98	69	
-	1977	751	20	69	
dem	2001	751	98	69	
-	2152	750	20	69	
na	2194	750	76	68	
-	2299	750	20	69	
tion	2340	750	109	68	
gone	2491	749	143	69	
,	2635	749	20	69	
Waves	2683	748	207	69	
of	2914	747	51	69	
2	769	827	22	74	
.	799	827	22	74	
As	919	826	83	74	
we	1069	825	83	74	
walk	1189	824	134	73	
to	1398	823	55	73	
-	1489	822	22	74	
geth	1540	822	116	73	
-	1692	820	22	74	
er	1743	820	55	74	
in	1888	819	42	74	
the	2013	818	106	74	
pil	2178	817	85	73	
-	2277	816	22	74	
grim	2320	816	105	73	
way	2502	815	117	73	
In	2733	813	55	74	
a	2907	812	22	74	
3	770	891	22	74	
.	800	891	22	74	
Peace	863	891	174	73	
that	1061	889	123	73	
pass	1216	888	123	73	
-	1363	887	22	74	
eth	1406	887	75	73	
tell	1549	886	105	73	
-	1678	885	22	74	
ing	1732	884	85	74	
now	1858	883	117	74	
my	1999	882	123	74	
heart	2135	881	167	73	
doth	2315	880	137	73	
know	2480	879	162	73	
,	2660	877	22	74	
And	2702	877	128	73	
my	2864	876	110	73	
4	770	959	22	74	
.	800	959	22	74	
I	928	958	22	74	
can	1036	957	96	74	
rest	1211	956	116	73	
se	1391	955	56	73	
-	1483	954	22	74	
cure	1526	954	131	73	
-	1685	953	22	74	
ly	1729	952	55	74	
on	1886	951	56	74	
His	2005	950	106	74	
faith	2144	949	125	73	
-	2315	948	22	74	
ful	2351	948	86	73	
word	2473	947	144	73	
As	2728	945	82	74	
I	2908	944	22	74	
gladness	837	1567	264	67	
o	1128	1565	21	69	
'	1163	1564	21	69	
er	1180	1564	64	69	
my	1252	1564	115	68	
spir	1397	1563	124	68	
-	1534	1562	21	69	
it	1584	1561	39	69	
roll	1686	1561	105	68	
;	1807	1560	21	69	
Holding	1867	1559	255	68	
sweet	2139	1557	183	68	
communion	2351	1556	356	66	
with	2742	1553	130	68	
my	2900	1552	102	68	
fel	856	1634	73	71	
-	935	1633	21	72	
low	987	1633	84	71	
-	1088	1632	21	72	
ship	1116	1632	119	71	
of	1266	1631	67	71	
love	1389	1630	117	71	
di	1555	1629	81	71	
;	1629	1628	21	72	
-	1643	1628	21	72	
vine	1685	1628	126	71	
,	1811	1627	21	72	
Faith	1857	1626	153	71	
and	2040	1625	113	71	
hope	2171	1624	151	71	
grow	2342	1623	133	71	
brighter	2507	1622	265	70	
with	2781	1619	119	72	
each	2919	1618	102	72	
life	854	1699	87	73	
is	1019	1697	42	74	
full	1139	1697	102	73	
of	1275	1696	69	73	
joy	1409	1695	85	73	
and	1523	1694	117	73	
song	1668	1693	137	73	
;	1827	1692	22	74	
Heaven	1866	1691	233	73	
'	2112	1689	22	74	
s	2135	1689	22	74	
pur	2190	1689	107	73	
-	2300	1688	22	74	
est	2318	1688	85	73	
pleasures	2441	1687	291	72	
thrill	2741	1685	165	73	
me	2919	1683	96	74	
journey	858	1767	225	72	
in	1150	1765	42	73	
the	1252	1764	107	73	
nar	1392	1763	106	73	
-	1494	1762	22	74	
row	1522	1762	96	73	
way	1656	1761	127	73	
,	1786	1760	22	74	
And	1866	1759	127	74	
be	2037	1758	69	74	
hap	2161	1757	117	73	
-	2304	1756	22	74	
py	2344	1756	69	73	
in	2493	1755	42	73	
the	2602	1754	107	73	
love	2740	1753	113	73	
of	2910	1752	55	73	
new	882	2423	117	73	
-	1017	2422	22	74	
found	1041	2421	168	73	
Lord	1253	2420	133	73	
,	1400	2419	22	74	
There	1455	2418	171	73	
is	1689	2417	29	73	
glo	1818	2416	75	73	
-	1925	2415	22	74	
ry	1980	2414	69	74	
,	2052	2414	22	74	
glo	2118	2413	75	74	
-	2232	2413	22	74	
ry	2280	2412	69	74	
in	2444	2411	42	74	
my	2583	2410	123	73	
soul	2786	2408	133	74	
.	2915	2408	22	74	
new	885	2490	109	69	
-	1039	2489	21	69	
born	1067	2489	141	68	
day	1242	2488	109	68	
,	1354	2487	21	69	
There	1452	2486	176	68	
is	1677	2485	39	68	
glo	1821	2484	70	68	
-	1928	2483	21	69	
ry	1987	2482	64	69	
in	2122	2481	52	69	
this	2248	2480	112	69	
soul	2402	2479	135	69	
of	2619	2478	52	69	
mine	2748	2477	160	68	
.	2908	2476	21	69	
as	914	2558	64	69	
I	1121	2557	21	69	
go	1280	2556	52	68	
,	1345	2555	21	69	
And	1461	2554	129	69	
my	1637	2553	115	68	
soul	1798	2552	132	68	
is	1997	2550	39	69	
hap	2108	2549	109	69	
-	2241	2548	21	69	
py	2283	2548	77	69	
all	2419	2547	89	69	
day	2587	2546	109	68	
long	2788	2544	122	69	
.	2920	2543	21	69	
my	875	2621	120	79	
dear	1058	2619	129	79	
Lord	1230	2618	136	79	
Who	1452	2616	151	79	
with	1619	2615	142	79	
glo	1807	2614	81	79	
-	1924	2613	24	80	
ry	1979	2612	61	80	
fills	2116	2611	100	80	
my	2261	2610	120	80	
soul	2408	2609	135	80	
each	2569	2608	127	79	
day	2779	2607	116	79	
.	2899	2606	24	80	
CHORUS	897	3012	281	43	
.	1192	3010	12	44	
There	797	3258	180	84	
is	1016	3263	48	80	
glo	1131	3265	72	81	
-	1229	3267	25	80	
ry	1259	3268	62	81	
,	1335	3269	25	80	
glo	1609	3273	69	60	
glo	1361	3329	75	73	
-	1466	3331	22	72	
ry	1507	3332	56	74	
,	1575	3333	22	72	
in	2133	3258	48	81	
my	2215	3256	121	80	
soul	2354	3254	125	79	
to	2502	3252	48	79	
-	2558	3250	25	81	
day	2589	3248	106	81	
,	2698	3247	25	81	
Wondrous	2740	3245	313	77	
glo	1826	3340	84	72	
-	1933	3342	22	72	
ry	1964	3343	69	73	
,	2035	3344	22	72	
mi	2120	3467	46	109	
OUT	1143	3630	56	83	
HED	1851	3476	67	231	
4	2410	3806	36	10	
!	2411	3888	36	10	
glo	851	3982	88	75	
-	948	3981	23	76	
ry	966	3981	71	76	
,	1041	3980	23	76	
glo	1263	3979	76	75	
-	1356	3978	23	76	
ry	1378	3978	57	76	
,	1441	3977	23	76	
glo	1050	4045	89	76	
-	1148	4045	23	76	
ry	1170	4044	56	76	
,	1233	4044	23	76	
glo	1463	4042	76	76	
-	1556	4042	23	76	
ry	1578	4041	56	76	
,	1641	4041	23	76	
all	1718	3974	83	79	
a	1835	3972	24	80	
-	1868	3971	24	80	
long	1895	3971	125	78	
the	2038	3968	105	80	
way	2162	3965	129	79	
,	2286	3964	24	80	
Heaven	2336	3962	233	77	
'	2573	3959	24	80	
s	2598	3959	24	80	
holiest	2631	3957	222	77	
holiest	2832	4017	197	63	
Copyright	722	4433	203	56	
,	923	4431	16	58	
1903	960	4431	73	58	
.	1041	4430	16	58	
by	1070	4430	42	58	
E	1136	4430	16	58	
.	1165	4429	16	58	
A	1200	4429	16	58	
.	1224	4429	16	58	
Hoffman	1261	4429	164	57	
,	1436	4427	16	58	
