content	x	y	w	h	
No	694	260	153	138	
.	849	259	41	139	
38	944	259	104	139	
.	1060	259	41	139	
THE	1220	258	240	139	
GLORY	1496	258	394	138	
-	1906	257	41	139	
LAND	1947	257	330	138	
.	2272	256	41	139	
C	2399	255	41	139	
.	2456	255	41	139	
M	2554	255	41	139	
.	2639	255	41	139	
J	805	421	24	85	
.	830	421	24	85	
T	882	421	24	85	
.	908	421	24	85	
L	959	421	24	85	
.	994	421	24	85	
J	2716	434	18	64	
.	2742	434	18	64	
T	2801	433	18	64	
.	2827	433	18	64	
LANE	2872	433	133	64	
.	3009	433	18	64	
1	817	782	20	72	
.	839	782	20	72	
The	914	782	113	72	
glo	1082	782	82	71	
-	1211	781	20	72	
ry	1267	781	54	72	
-	1342	781	20	72	
land	1387	781	118	72	
of	1552	780	54	72	
light	1650	780	140	72	
and	1815	780	103	72	
love	1949	780	119	71	
,	2072	779	20	72	
Be	2170	779	65	72	
-	2262	779	20	72	
yond	2304	779	140	71	
this	2472	778	109	72	
world	2612	778	158	72	
of	2815	777	53	72	
care	2939	777	112	72	
,	3056	777	20	72	
2	813	870	18	64	
.	839	870	18	64	
There	906	870	154	64	
we	1087	870	94	63	
shall	1234	869	144	64	
see	1393	869	92	64	
His	1522	869	101	63	
bless	1653	868	132	64	
ed	1825	868	47	64	
face	1952	867	105	64	
,	2061	867	18	64	
And	2129	867	110	64	
sing	2306	867	118	63	
of	2505	866	59	64	
love	2605	866	121	64	
un	2797	865	59	64	
-	2893	865	18	64	
told	2937	865	105	64	
;	3062	865	18	64	
3	812	949	21	74	
.	842	949	21	74	
A	954	949	21	74	
land	1058	949	125	73	
of	1268	948	54	74	
per	1392	948	95	74	
-	1487	948	21	74	
fect	1508	948	104	73	
peace	1632	947	163	74	
and	1815	947	95	74	
rest	1950	946	107	74	
,	2057	946	21	74	
The	2142	946	106	74	
mo	2291	946	108	74	
-	2394	945	21	74	
ments	2403	945	194	74	
soon	2621	945	114	74	
must	2756	945	153	73	
come	2933	944	156	74	
,	3084	944	21	74	
TI	795	1757	42	7	
NI	2944	1732	40	23	
Where	824	1851	205	74	
we	1048	1851	95	74	
shall	1169	1850	142	74	
live	1337	1850	107	74	
with	1463	1850	128	73	
Christ	1624	1849	174	74	
a	1823	1849	21	74	
-	1876	1849	21	74	
bove	1912	1849	132	73	
,	2041	1848	21	74	
And	2108	1848	116	74	
in	2305	1848	41	74	
His	2453	1847	95	74	
glo	2599	1847	84	74	
-	2738	1847	21	74	
ry	2789	1846	55	74	
share	2902	1846	149	74	
.	3061	1846	21	74	
Yes	886	1942	91	64	
,	984	1942	18	64	
we	1052	1942	82	64	
will	1189	1941	117	64	
sing	1333	1941	118	64	
re	1515	1941	47	64	
-	1569	1940	18	64	
deem	1585	1940	136	64	
-	1751	1940	18	64	
ing	1775	1940	92	64	
grace	1896	1940	147	63	
,	2050	1939	18	64	
And	2105	1939	119	64	
walk	2255	1939	130	63	
the	2451	1938	100	64	
streets	2568	1938	190	64	
of	2793	1937	59	64	
gold	2916	1937	115	64	
.	3051	1937	18	64	
For	880	2019	105	74	
Christ	1007	2019	175	73	
is	1246	2018	41	74	
wait	1316	2018	136	74	
-	1469	2018	21	74	
ing	1508	2018	85	73	
for	1651	2017	74	74	
the	1775	2017	95	74	
blest	1892	2017	148	73	
,	2039	2016	21	74	
In	2138	2016	41	74	
that	2258	2016	119	74	
e	2474	2015	21	74	
-	2534	2015	21	74	
ter	2585	2015	85	74	
-	2699	2015	21	74	
nal	2765	2015	95	73	
home	2890	2014	167	74	
!	3055	2014	21	74	
REFRAIN	895	2588	270	57	
That	869	2939	136	76	
glo	1023	2939	76	76	
-	1436	2954	23	73	
ry	1549	2949	68	72	
land	1639	2946	135	71	
Where	2143	2938	201	81	
all	2366	2937	69	81	
Glo	1005	3020	88	62	
-	1108	3020	17	62	
ry	1126	3020	45	61	
-	1178	3019	17	62	
land	1195	3019	111	62	
of	1352	3019	46	62	
light	1424	3019	122	62	
,	1543	3019	17	62	
land	1651	3018	111	62	
of	1787	3018	45	62	
light	1861	3018	119	61	
and	1993	3017	96	62	
love	2111	3017	93	62	
,	2211	3017	17	62	
is	2525	2937	44	81	
peace	2612	2937	158	81	
and	2792	2936	104	81	
love	2943	2936	114	81	
!	3065	2936	23	81	
Be	892	3927	68	61	
-	967	3927	17	61	
yond	985	3927	145	61	
this	1514	3927	100	57	
world	1643	3926	156	58	
We	2114	3909	115	78	
'	2216	3909	22	78	
ll	2241	3909	44	78	
reign	2301	3909	145	77	
with	2469	3908	135	78	
Him	2635	3908	100	78	
a	2801	3907	22	78	
-	2848	3907	22	78	
bove	2891	3907	139	78	
!	3038	3907	22	78	
Be	901	3999	65	60	
-	962	3999	17	60	
yond	982	3999	125	60	
this	1124	3999	100	59	
world	1233	3998	141	60	
of	1397	3998	54	60	
care	1464	3998	101	60	
,	1571	3997	17	60	
world	1611	3997	141	60	
of	1781	3997	55	60	
care	1856	3997	100	60	
and	1973	3996	94	60	
sin	2094	3996	69	60	
,	2175	3996	17	60	
Copyright	1492	4394	266	68	
,	1755	4393	20	69	
1902	1788	4393	100	69	
,	1888	4393	20	69	
by	1928	4393	51	68	
J	2014	4392	20	69	
.	2035	4392	20	69	
T	2084	4392	20	69	
.	2112	4392	20	69	
LANE	2150	4392	133	69	
.	2287	4392	20	69	
