content	x	y	w	h	
I	1091	503	42	134	
COULD	1170	504	277	138	
'	1443	508	41	134	
NT	1475	508	126	136	
HEAR	1656	510	224	138	
NOBODY	1941	514	349	139	
PRAY	2346	520	228	137	
LEADER	744	674	236	80	
.	983	677	23	77	
O	2606	1009	24	80	
Lord	2723	1010	129	82	
!	2874	1012	24	80	
*	2908	1013	23	80	
CHORUS	808	1043	235	74	
And	787	1434	117	77	
I	1047	1438	22	74	
could	1169	1440	140	78	
-	1348	1444	22	75	
n	1401	1444	22	75	
'	1432	1445	22	75	
t	1462	1445	21	75	
hear	1586	1447	129	79	
no	1856	1452	68	77	
-	1973	1455	21	74	
bod	2054	1456	96	77	
-	2244	1460	22	74	
y	2342	1462	22	74	
pray	2505	1490	128	44	
:	2641	1491	13	43	
And	2816	1468	115	69	
could	676	2612	147	89	
-	834	2613	26	88	
n	857	2614	26	88	
'	887	2614	26	88	
t	914	2614	26	88	
hear	974	2615	128	89	
no	1151	2618	67	88	
-	1242	2619	26	87	
bo	1284	2620	67	87	
-	1394	2621	25	87	
dy	1441	2622	82	87	
pray	1569	2623	127	90	
,	1695	2625	26	88	
0	1793	2626	26	88	
way	1921	2628	112	89	
down	2057	2629	149	90	
yon	2225	2631	89	89	
-	2334	2633	26	88	
der	2368	2633	102	89	
by	2509	2635	67	88	
my	2644	2636	98	90	
-	2760	2638	26	88	
self	2816	2639	102	89	
And	2932	2640	126	89	
I	3080	2642	26	88	
ÁD	724	2954	78	84	
FINET	1881	3090	215	88	
2	2227	3062	37	99	
1	2241	3398	23	76	
.	2272	3398	23	76	
In	2359	3399	43	76	
the	2544	3401	89	77	
val	2758	3404	89	77	
-	2860	3405	23	76	
ley	2924	3406	77	77	
!	3023	3407	23	76	
*	3054	3407	23	76	
2	2246	3467	22	74	
.	2276	3467	22	74	
Chill	2331	3468	145	75	
-	2509	3470	22	74	
y	2570	3471	22	74	
wa	2757	3473	83	74	
-	2863	3474	22	74	
ters	2917	3475	106	75	
!	3029	3476	22	74	
3	2245	3547	22	75	
.	2268	3546	21	75	
†	2336	3546	22	75	
Hal	2380	3543	108	75	
-	2509	3543	22	75	
le	2551	3541	57	75	
-	2674	3540	22	74	
lu	2766	3539	42	73	
-	2855	3537	22	74	
jah	2934	3536	76	73	
!	3037	3534	21	74	
UNISON	2862	3616	221	62	
.	3093	3620	18	59	
could	670	3937	145	93	
-	835	3939	28	92	
n	882	3939	28	92	
'	910	3939	28	92	
t	938	3940	27	92	
hear	1038	3942	120	92	
no	1279	3945	69	91	
-	1383	3946	28	92	
bod	1437	3947	106	93	
-	1597	3949	28	92	
y	1681	3950	27	92	
pray	1813	3951	120	94	
.	1931	3953	28	92	
pray	2134	3997	121	39	
,	2264	3995	12	41	
*	534	4445	19	62	
The	594	4446	98	62	
interjections	718	4447	358	66	
used	1087	4452	125	63	
here	1240	4454	122	63	
are	1380	4455	81	63	
not	1479	4456	98	63	
the	1597	4459	90	62	
only	1707	4460	119	63	
ones	1853	4462	126	63	
which	1992	4464	161	63	
can	2195	4466	81	63	
be	2304	4467	68	63	
used	2384	4468	125	64	
,	2517	4470	19	62	
but	2543	4470	107	63	
may	2654	4472	134	63	
be	2809	4474	57	62	
changed	2891	4475	225	64	
according	468	4507	278	51	
to	769	4509	45	49	
the	844	4510	88	49	
emotions	951	4510	265	51	
of	1228	4512	53	50	
the	1311	4512	90	50	
leader	1413	4514	176	49	
.	1590	4515	13	49	
†	542	4557	22	71	
Let	596	4558	92	72	
this	717	4559	98	72	
stanza	836	4561	177	72	
be	1044	4563	66	72	
exceedingly	1133	4564	325	75	
slow	1487	4569	104	71	
,	1611	4570	22	71	
about	1645	4570	166	73	
half	1831	4573	118	72	
as	1968	4574	67	72	
fast	2053	4575	101	72	
as	2163	4577	67	71	
the	2248	4578	93	71	
others	2353	4579	177	74	
,	2529	4581	21	72	
and	2554	4581	102	73	
the	2696	4583	93	73	
chorus	2792	4584	195	74	
very	3010	4588	111	72	
soft	466	4614	108	61	
.	573	4615	18	60	
But	642	4616	113	61	
go	770	4618	56	60	
into	852	4620	106	60	
the	986	4621	95	60	
refrain	1102	4623	171	62	
a	1310	4625	18	60	
tempo	1364	4626	168	62	
.	1541	4628	18	60	
