content	x	y	w	h	
ASBURY	1509	265	257	60	
.	1768	262	19	63	
C	1921	259	19	63	
.	1947	259	19	63	
M	1992	258	19	63	
.	2043	258	19	63	
MO	2067	256	163	62	
COLL	3402	293	65	31	
1	675	548	14	51	
.	690	548	14	51	
Be	723	548	47	51	
-	768	548	14	51	
hold	780	548	74	51	
the	872	548	52	51	
Sa	972	547	47	51	
-	1039	547	14	51	
viour	1073	547	90	51	
of	1220	547	37	50	
mankind	1319	546	151	51	
,	1475	546	14	51	
Nail	1501	546	81	50	
'	1579	545	14	51	
d	1595	545	14	51	
to	1626	545	29	51	
the	1678	545	52	51	
shame	1773	545	114	50	
-	1881	544	14	51	
ful	1900	544	43	51	
tree	1959	544	67	51	
!	2037	544	14	51	
How	2062	544	73	51	
vast	2163	543	64	51	
the	2241	543	50	51	
love	2308	543	67	51	
that	2438	543	65	50	
him	2550	542	44	51	
in	2709	542	28	51	
-	2744	542	14	51	
clined	2761	542	97	50	
To	2884	541	37	51	
bleed	2940	541	90	51	
and	3044	541	59	50	
die	3122	540	44	51	
,	3176	540	14	51	
To	3208	540	47	51	
bleed	3274	540	89	51	
and	3387	539	59	51	
die	3467	539	44	51	
for	3567	539	43	51	
thee	3634	539	72	50	
!	3717	538	14	51	
2	656	808	11	42	
.	673	808	11	42	
Hark	697	808	83	42	
!	798	808	11	42	
how	820	808	61	42	
he	900	807	47	42	
groans	964	806	110	42	
while	1084	806	94	42	
na	1220	806	39	41	
-	1279	805	11	42	
ture	1312	805	65	42	
shakes	1400	805	113	41	
,	1512	804	11	42	
And	1528	804	66	41	
earth	1607	803	84	42	
'	1701	803	11	42	
s	1714	803	11	42	
strong	1738	803	108	42	
pillars	1859	802	103	41	
bend	1967	801	83	42	
!	2066	801	11	42	
The	2093	801	60	42	
temple	2164	800	116	42	
'	2281	800	11	42	
s	2298	800	11	42	
veil	2325	800	66	42	
in	2463	798	22	42	
sun	2542	798	48	42	
-	2642	798	11	42	
der	2682	798	54	42	
breaks	2751	798	112	41	
,	2866	797	11	42	
The	2900	797	66	41	
solid	2976	796	73	42	
mar	3077	795	72	42	
-	3154	795	11	42	
The	3189	795	67	42	
sol	3282	795	54	42	
-	3352	795	11	42	
id	3387	794	23	42	
mar	3421	794	72	41	
-	3511	793	11	42	
bles	3538	793	67	42	
rend	3622	793	71	42	
.	3700	792	11	42	
DUNLAP	1522	1171	269	73	
'	1785	1170	21	74	
S	1815	1170	21	74	
CREEK	1893	1169	198	74	
.	2107	1169	21	74	
C	2257	1168	21	74	
.	2287	1168	21	74	
M	2332	1168	21	74	
.	2377	1168	21	74	
F	3383	1205	9	29	
.	3398	1205	9	29	
LEWIS	3419	1206	82	31	
.	3503	1208	9	29	
WATTS	910	1283	97	24	
.	1009	1285	6	22	
#	672	1291	5	60	
1	677	1464	13	47	
.	696	1464	13	47	
Sing	746	1464	77	47	
to	865	1464	27	47	
the	937	1463	54	47	
Lord	1008	1463	82	47	
,	1095	1463	13	47	
ye	1127	1463	35	47	
heav	1202	1463	80	46	
'	1287	1462	13	47	
n	1301	1462	13	47	
-	1320	1462	13	47	
ly	1336	1462	25	47	
hosts	1404	1462	88	47	
,	1498	1462	13	47	
And	1546	1461	74	47	
thou	1643	1461	71	47	
,	1719	1461	13	47	
O	1772	1461	13	47	
earth	1838	1461	81	46	
,	1930	1460	13	47	
a	1997	1460	13	47	
-	2050	1460	13	47	
dore	2097	1460	73	46	
:	2180	1459	13	47	
His	747	1507	55	43	
sound	831	1507	94	43	
-	928	1507	12	43	
ing	946	1506	49	43	
char	1011	1506	70	43	
-	1099	1506	12	43	
iot	1127	1506	42	43	
shakes	1201	1506	109	42	
the	1331	1505	56	43	
sky	1402	1505	55	43	
,	1464	1505	12	43	
He	1550	1504	56	43	
makes	1619	1504	120	43	
the	1760	1504	49	43	
clouds	1834	1504	107	42	
his	1977	1503	48	43	
throne	2084	1503	113	42	
;	2204	1502	12	43	
Let	2273	1459	54	47	
death	2371	1459	85	47	
and	2476	1458	60	47	
hell	2561	1458	65	47	
thro	2661	1458	63	47	
'	2732	1458	13	47	
all	2779	1457	39	47	
their	2853	1457	79	47	
There	2263	1502	94	43	
all	2397	1502	42	43	
his	2478	1501	49	43	
stores	2568	1501	97	43	
of	2683	1501	31	43	
light	2774	1500	78	43	
-	2850	1500	12	43	
ning	2861	1500	75	43	
coasts	2980	1457	100	47	
,	3082	1456	13	47	
Stand	3127	1456	95	47	
trembling	3244	1456	171	46	
at	3451	1455	35	47	
his	3521	1455	47	47	
pow	3612	1455	60	47	
'	3687	1454	13	47	
r	3701	1454	13	47	
.	3716	1454	13	47	
lie	2992	1500	37	43	
,	3035	1500	12	43	
Till	3133	1500	60	42	
vengeance	3232	1500	178	41	
darts	3423	1499	84	42	
them	3526	1499	69	42	
down	3627	1499	94	41	
.	3725	1498	11	42	
3	683	1757	10	38	
.	699	1757	10	38	
His	747	1757	55	38	
nos	855	1757	60	38	
-	917	1757	10	38	
trils	928	1757	66	37	
breathe	1013	1756	125	38	
out	1158	1756	49	38	
fi	1250	1755	20	38	
-	1284	1755	10	38	
rey	1310	1755	49	38	
streams	1380	1755	137	38	
,	1514	1755	10	38	
And	1544	1754	71	38	
from	1659	1754	59	38	
his	1760	1754	49	38	
aw	1861	1753	41	38	
-	1935	1753	10	38	
ful	1965	1753	49	38	
tongue	2043	1753	118	38	
4	681	1794	9	35	
.	699	1794	9	35	
Think	760	1794	92	36	
,	861	1795	9	35	
O	897	1795	9	35	
my	927	1795	65	34	
soul	1004	1794	72	35	
!	1088	1794	9	35	
the	1134	1794	50	35	
dread	1225	1795	91	34	
-	1322	1794	9	35	
ful	1340	1794	45	35	
day	1419	1794	60	35	
When	1535	1794	101	35	
this	1661	1794	55	35	
in	1769	1794	19	35	
-	1819	1794	9	35	
cens	1853	1793	72	35	
.	1956	1793	9	35	
ed	1997	1794	32	35	
God	2081	1794	70	35	
A	2284	1751	11	40	
sove	2344	1751	73	40	
-	2419	1751	11	40	
reign	2434	1751	79	39	
voice	2547	1750	85	40	
di	2650	1750	36	40	
-	2714	1750	11	40	
vides	2760	1750	90	39	
the	2881	1749	57	40	
flames	2983	1749	100	40	
,	3087	1748	11	40	
Shall	2275	1793	85	35	
rend	2378	1793	69	35	
the	2470	1792	50	35	
sky	2546	1792	61	35	
,	2607	1792	9	35	
and	2647	1792	55	35	
burn	2759	1792	79	34	
the	2882	1791	56	35	
sea	2996	1791	50	35	
,	3053	1791	9	35	
And	3159	1748	68	40	
thunder	3254	1748	132	40	
rolls	3443	1747	75	40	
a	3559	1747	11	40	
-	3600	1747	11	40	
long	3634	1747	66	39	
.	3706	1746	11	40	
And	3144	1790	70	35	
fling	3262	1790	70	35	
his	3353	1790	45	34	
wrath	3414	1789	92	35	
a	3561	1789	9	35	
-	3597	1789	9	35	
broad	3629	1789	96	34	
.	3730	1788	9	35	
5	675	2042	11	42	
.	697	2042	11	42	
What	726	2042	99	42	
shall	838	2042	80	42	
the	928	2042	54	41	
wretch	991	2041	114	42	
,	1114	2041	11	42	
the	1136	2041	54	42	
6	678	2082	9	35	
.	699	2082	9	35	
Tem	733	2082	61	35	
-	825	2082	9	35	
pests	843	2082	83	35	
of	945	2081	32	35	
an	1028	2081	32	36	
.	1099	2082	9	35	
gry	1140	2082	50	35	
sin	1264	2040	42	42	
-	1317	2040	11	42	
ner	1327	2040	54	42	
do	1422	2040	38	42	
?	1472	2040	11	42	
He	1544	2039	46	42	
fire	1272	2081	51	35	
shall	1345	2081	79	35	
roll	1440	2081	58	35	
,	1498	2081	9	35	
To	1548	2080	39	35	
once	1668	2039	75	42	
de	1767	2039	39	42	
-	1826	2039	11	42	
fied	1853	2038	49	42	
the	1966	2038	55	42	
blast	1662	2080	89	35	
the	1764	2080	55	36	
re	1854	2080	26	35	
-	1920	2080	9	35	
bel	1960	2080	61	35	
Lord	2085	2038	75	42	
!	2174	2037	11	42	
But	2233	2037	61	42	
worm	2075	2080	83	35	
,	2179	2079	9	35	
And	2230	2079	71	35	
he	2373	2037	39	42	
shall	2452	2037	85	41	
dread	2554	2036	88	42	
the	2663	2036	54	42	
Thund	2760	2036	109	41	
'	2871	2035	11	42	
rer	2882	2035	48	42	
now	2971	2035	60	42	
,	3047	2035	11	42	
beat	2356	2079	79	35	
up	2490	2078	35	35	
-	2546	2078	9	35	
on	2572	2079	32	35	
his	2650	2079	45	35	
na	2776	2078	38	35	
-	2838	2078	9	35	
ked	2859	2078	66	35	
soul	2973	2078	71	35	
,	3043	2078	9	35	
And	3138	2038	74	40	
sink	3249	2038	63	40	
be	3362	2038	37	39	
-	3406	2037	11	40	
neath	3413	2037	95	40	
his	3546	2037	46	40	
word	3625	2037	85	39	
.	3718	2036	11	40	
In	3146	2077	26	35	
one	3264	2077	54	35	
e	3381	2077	9	35	
-	3417	2077	9	35	
ter	3452	2077	45	35	
-	3522	2077	9	35	
nal	3554	2077	55	35	
storm	3620	2077	82	34	
.	3723	2076	9	35	
-	744	2193	5	17	
