content	x	y	w	h	
36	481	273	40	51	
INVOCACION	627	280	245	49	
AL	905	284	50	46	
ESPIRITU	989	285	180	48	
SANTO	1205	288	125	47	
.	1337	290	13	45	
3	641	377	15	50	
.	657	377	15	50	
Que	695	377	72	51	
contrito	789	379	137	51	
y	953	381	15	50	
humillado	989	381	189	53	
Yo	707	427	43	40	
alcance	779	427	128	40	
en	935	428	30	40	
él	1001	429	29	39	
su	1050	428	29	41	
favor	1113	429	91	40	
,	1203	429	11	40	
Y	710	467	12	40	
del	751	467	58	41	
Satanas	834	468	137	42	
malvado	984	470	159	42	
Mas	691	508	82	41	
no	791	510	44	40	
tema	859	511	92	41	
el	970	512	31	40	
vil	1025	513	47	41	
rencor	1097	514	115	41	
.	1213	516	12	40	
4	645	581	12	41	
.	666	581	12	41	
Siempre	694	581	153	43	
mas	868	584	77	42	
en	967	585	31	41	
mí	1027	586	61	42	
aviya	1098	587	98	42	
,	1203	588	12	41	
Supremo	696	621	164	48	
Dios	881	624	86	47	
,	966	625	14	46	
la	1000	626	26	46	
bella	1053	626	88	47	
fé	1165	628	27	46	
;	1201	628	14	46	
Y	709	665	12	42	
cual	755	665	75	43	
rocío	854	667	81	43	
de	962	668	48	42	
arriba	1031	669	106	43	
,	1139	671	12	42	
Haz	694	705	75	49	
que	797	707	64	48	
influya	883	708	123	50	
sobre	1035	710	93	49	
mí	1144	712	63	48	
.	1195	712	14	48	
HIMNO	740	837	171	60	
46	943	840	54	58	
.	1006	841	17	58	
—	1030	841	17	58	
4	1059	841	17	58	
DE	1105	842	44	58	
12	1178	843	34	58	
.	1218	844	17	58	
INVOCACION	667	916	213	48	
AL	912	919	42	46	
ESPIRITU	988	921	159	46	
SANTO	1176	923	107	46	
.	1292	925	13	45	
1	605	986	14	48	
.	619	986	14	48	
VEN	658	987	69	49	
,	737	988	14	48	
Criador	773	989	137	49	
,	908	990	14	48	
espíritu	949	991	125	50	
increado	1105	993	152	50	
,	1261	995	14	48	
Nuestras	650	1032	165	44	
almas	835	1034	109	44	
visita	964	1036	92	43	
é	1092	1038	12	42	
ilumina	1133	1039	134	43	
;	1277	1041	12	42	
Y	664	1073	13	43	
de	710	1074	41	43	
tu	775	1075	24	43	
fuego	830	1075	97	44	
y	950	1077	13	43	
de	996	1078	41	43	
tu	1061	1079	24	43	
luz	1118	1079	51	44	
divina	1194	1080	117	45	
Inflama	654	1115	144	49	
tú	817	1117	28	48	
los	876	1118	48	48	
pechos	946	1119	120	49	
que	1088	1121	63	49	
has	1176	1122	63	49	
creado	1263	1123	107	50	
.	1375	1125	14	48	
2	599	1177	13	43	
.	617	1177	13	43	
i	652	1178	13	43	
0	683	1178	13	43	
tú	727	1179	32	43	
,	767	1179	13	43	
que	799	1180	63	44	
Paracleto	885	1181	166	45	
eres	1082	1184	68	44	
llamado	1176	1185	143	45	
!	1330	1187	13	43	
¡	652	1222	12	42	
Del	675	1222	68	43	
altísimo	767	1223	145	44	
Dios	938	1226	79	43	
Don	1039	1227	68	43	
eminente	1140	1229	159	44	
!	1313	1231	12	42	
Tú	652	1263	51	46	
,	703	1264	14	46	
fuego	737	1264	96	47	
,	830	1265	14	46	
caridad	867	1266	129	47	
,	1004	1268	14	46	
tú	1038	1268	26	46	
,	1070	1269	14	46	
viva	1102	1269	72	47	
fuente	1202	1271	108	47	
,	1309	1272	14	46	
Uncion	645	1305	127	49	
tú	802	1307	37	48	
celestial	866	1308	148	50	
de	1036	1310	44	49	
olor	1101	1311	71	49	
sagrado	1190	1312	141	50	
.	1333	1314	14	48	
3	601	1369	13	43	
.	618	1369	13	43	
i	649	1370	13	43	
don	726	1371	62	44	
en	815	1372	33	43	
varias	880	1373	109	44	
formas	1015	1375	119	44	
desplegado	1157	1377	195	45	
!	1366	1380	13	43	
De	653	1414	48	42	
la	721	1415	32	42	
diestra	779	1416	122	43	
eternal	930	1418	126	43	
,	1049	1419	12	42	
omnipotente	1087	1420	220	45	
,	1307	1423	12	42	
Que	646	1456	74	43	
los	743	1457	49	43	
orbes	814	1458	94	43	
sostiene	932	1460	141	43	
establemente	1100	1462	229	45	
,	1329	1465	12	42	
i	646	1495	15	50	
Eterno	681	1495	116	52	
dedo	824	1497	85	51	
en	933	1499	28	50	
resplandor	992	1500	196	52	
bañado	1203	1503	135	51	
!	1350	1505	15	50	
4	597	1557	14	47	
.	616	1557	14	47	
Del	649	1558	62	48	
padre	733	1559	104	48	
justamente	862	1561	194	49	
el	1081	1564	36	47	
prenunciado	1138	1565	225	50	
,	1360	1568	14	47	
Que	646	1606	70	41	
de	738	1607	44	40	
palabra	804	1608	131	42	
irresistible	962	1610	195	43	
y	1185	1613	12	40	
santa	1225	1614	92	41	
,	1320	1615	12	40	
Sabes	646	1645	97	45	
enriquecer	764	1646	195	47	
en	986	1650	25	44	
copia	1048	1650	91	45	
tanta	1166	1652	86	45	
Al	642	1687	57	50	
pecho	712	1688	100	51	
mas	834	1689	80	51	
exánime	933	1691	168	52	
y	1112	1693	15	50	
helado	1154	1694	122	51	
.	1281	1696	15	50	
5	588	1750	13	44	
.	611	1750	13	44	
Desciende	647	1751	184	46	
tú	848	1754	33	44	
,	885	1754	13	44	
desciende	919	1755	176	46	
apresurado	1118	1757	197	47	
;	1326	1760	13	44	
Bañe	646	1796	89	41	
tu	755	1797	31	41	
resplandor	817	1798	190	43	
nuestros	1026	1801	153	42	
sentidos	1201	1804	142	41	
;	1350	1806	12	40	
Q	649	1840	11	40	
nuestros	694	1840	147	41	
corazones	869	1841	169	41	
derretidos	1063	1843	186	41	
Ardan	640	1879	110	45	
en	780	1881	33	44	
el	849	1882	25	44	
amor	896	1882	93	45	
mas	1007	1884	76	45	
acendrado	1107	1885	187	47	
.	1294	1888	13	44	
6	587	1937	14	47	
.	606	1937	14	47	
En	646	1938	44	47	
nuestro	714	1939	134	48	
cuerpo	876	1941	110	48	
débil	1011	1943	94	48	
y	1129	1945	14	47	
menguado	1166	1945	191	49	
,	1354	1948	14	47	
Cuanto	641	1982	123	48	
lánguido	789	1984	160	49	
halláres	968	1986	147	49	
vivifica	1138	1989	131	48	
,	1273	1991	14	47	
