content	x	y	w	h	
ROCK	1685	636	220	102	
MOUNT	1938	638	328	102	
SINAI	2301	639	233	102	
Chorus	2544	765	226	71	
o	2406	992	21	74	
Rock	2582	993	122	74	
Mount	2736	994	173	74	
Si	2942	995	68	74	
-	3059	995	21	74	
nai	3132	996	85	74	
,	3216	996	21	74	
O	3306	997	21	74	
TIZ	2309	1142	42	56	
11	2504	1174	22	17	
Piano	689	1292	186	83	
TOTO	2931	1483	56	96	
.	2927	1589	59	19	
III	3305	1731	54	21	
11	3319	1755	38	23	
I	3323	1813	5	15	
.	3369	1808	5	15	
Rock	903	1838	129	82	
Mount	1047	1839	182	82	
Si	1275	1840	60	81	
-	1409	1841	23	81	
nai	1480	1841	93	81	
,	1573	1842	23	81	
Rock	1677	1842	113	82	
Mount	1818	1843	165	82	
Si	2022	1844	58	81	
-	2106	1844	23	81	
nai	2161	1845	93	81	
in	2306	1845	31	82	
de	2399	1846	60	81	
maw	2660	1868	108	48	
to	935	2116	80	34	
1	3343	2304	4	18	
Solo	1012	2471	92	48	
Ne	900	2625	38	8	
Wen	962	2684	116	75	
you	1128	2685	85	75	
hear	1298	2686	125	75	
(	1445	2687	21	74	
m	1467	2687	21	74	
-	1505	2687	21	74	
m	1527	2687	21	74	
-	1565	2688	21	74	
m	1587	2688	21	74	
)	1632	2688	21	74	
My	1775	2689	81	74	
Cof	1916	2689	84	75	
-	2000	2690	21	74	
fin	2024	2690	63	74	
soun	2126	2690	114	75	
'	2240	2691	21	74	
,	2255	2691	21	74	
(	2277	2691	21	74	
m	2292	2691	21	74	
-	2330	2692	21	74	
m	2352	2692	21	74	
-	2397	2692	21	74	
m	2420	2692	21	74	
-	2457	2692	21	74	
m	2480	2692	21	74	
)	2510	2692	21	74	
Den	2592	2693	95	74	
you	2741	2694	84	74	
will	2862	2694	110	75	
know	2996	2695	122	75	
(	3162	2696	21	74	
m	3185	2696	21	74	
-	3222	2696	21	74	
m	3245	2696	21	74	
-	3282	2696	21	74	
m	3312	2697	21	74	
)	3350	2697	21	74	
W	2595	2886	90	26	
TO	2593	3046	90	280	
>	993	3124	4	17	
NO	898	3157	35	9	
1	761	3502	21	72	
My	955	3504	93	74	
bod	1158	3507	93	73	
-	1294	3508	21	72	
y	1353	3510	21	72	
'	1382	3510	21	72	
s	1404	3510	21	72	
boun	1515	3511	134	74	
'	1652	3513	21	72	
(	1747	3514	21	72	
m	1769	3514	21	72	
-	1827	3515	21	72	
m	1878	3515	21	72	
-	1929	3515	21	72	
m	1988	3517	21	72	
)	2031	3517	21	72	
O	2185	3519	21	72	
Rock	2388	3521	134	73	
Mount	2539	3523	180	73	
Si	2814	3526	67	72	
00	1880	3558	23	21	
-	2972	3528	21	72	
nai	3077	3529	93	73	
,	3176	3530	21	72	
o	3264	3531	21	72	
46	2031	4192	38	41	
