content	x	y	w	h	
WARNING	726	334	201	34	
'	932	334	9	34	
S	943	334	9	34	
HYMN	586	426	170	55	
89	785	423	44	57	
.	834	422	17	58	
C	905	420	17	58	
.	935	420	17	58	
M	976	419	17	58	
.	1017	418	17	58	
Deceitfulness	611	486	249	58	
of	874	486	42	58	
Sin	939	486	58	58	
.	999	486	16	58	
NAORKETV	465	542	271	61	
cukpe	767	549	136	58	
sulket	926	553	140	58	
Pum	533	606	83	58	
vkere	660	606	135	58	
munkvts	807	606	201	58	
,	1017	606	16	58	
Pu	471	658	63	59	
feken	560	659	116	60	
pum	704	661	82	59	
oh	830	663	41	58	
vtotket	906	664	160	60	
,	1067	666	15	58	
Pun	538	722	82	58	
lakse	650	722	110	58	
munkytos	772	722	237	58	
.	1013	722	16	58	
2	475	833	18	65	
Laksetyn	527	833	212	65	
pufeke	760	833	159	65	
ofvn	942	833	94	65	
Licet	531	901	124	50	
vpvlwyn	674	901	192	50	
wiks	895	901	105	50	
:	1007	901	14	50	
Ehocefkv	469	951	230	63	
fvtsv	725	956	99	60	
omen	853	959	112	60	
,	979	962	15	58	
Esten	534	1014	121	50	
lakset	689	1017	133	51	
aret	837	1021	86	50	
.	929	1023	12	48	
3	473	1126	15	58	
Este	531	1127	100	59	
aculis	652	1129	130	59	
,	786	1131	15	58	
mynnettis	811	1131	231	61	
,	1046	1134	15	58	
Omvl	531	1187	136	61	
'	667	1190	15	58	
en	700	1191	42	58	
laksepoy	776	1192	192	62	
'	980	1197	15	58	
s	991	1197	15	58	
;	1015	1198	15	58	
Momet	462	1246	175	60	
akvsvmepoecoſ	654	1249	364	63	
,	1016	1254	15	58	
Holwiyeckvn	528	1307	302	62	
yekcic	858	1311	147	60	
'	1015	1314	15	58	
?	1039	1314	15	58	
4	464	1418	15	58	
Mohmet	516	1420	205	61	
este	739	1424	89	59	
kicepoyes	849	1426	226	62	
,	1083	1430	15	58	
Afvtsketv	528	1479	217	62	
heren	775	1484	112	60	
;	900	1486	15	58	
Esalakit	461	1535	186	61	
omnis	674	1539	97	60	
hecyks	796	1542	164	61	
,	965	1546	15	58	
Kicet	521	1598	130	62	
emvkeres	680	1598	213	62	
.	893	1598	17	62	
5	469	1714	15	58	
Momet	516	1715	176	60	
em	707	1717	53	59	
mykerepoyof	789	1718	325	62	
,	1113	1722	15	58	
Hesaketvmese	520	1774	338	63	
,	868	1790	11	48	
Enlikety	470	1835	183	52	
here	683	1841	92	51	
ocat	803	1845	97	51	
,	899	1848	12	47	
Omsl	524	1895	136	49	
'	657	1897	12	47	
akonahes	688	1898	205	51	
.	902	1902	12	47	
