content	x	y	w	h	
Safely	657	287	200	84	
Sheltered	918	287	312	84	
.	1247	287	24	84	
L	274	390	3	63	
.	299	393	3	63	
Copyright	713	396	132	40	
.	842	396	11	40	
1917	870	396	51	40	
,	920	396	11	40	
by	943	396	30	40	
Haldor	992	396	85	40	
Lillonas	1097	396	99	40	
.	1198	396	11	40	
HALDOR	1370	398	137	38	
LILLENAS	1533	398	157	38	
.	1692	398	10	38	
DIT	413	596	20	61	
1	255	649	13	46	
.	274	649	13	46	
Storms	304	649	130	47	
of	447	650	34	46	
life	505	650	54	47	
may	582	651	73	46	
beat	687	651	76	47	
a	800	652	13	46	
-	829	652	13	46	
round	856	652	95	47	
me	968	653	58	46	
,	1021	653	13	46	
Hid	1061	653	52	47	
-	1139	654	13	46	
den	1164	654	53	46	
dangers	1239	654	144	47	
may	1395	655	73	47	
surround	1492	656	152	47	
me	1660	657	51	46	
,	1712	657	13	46	
2	255	703	13	46	
.	274	703	13	46	
In	308	703	25	46	
the	435	704	52	46	
riv	519	705	40	46	
-	579	705	13	46	
en	613	705	25	46	
Rock	678	705	85	47	
I	786	706	13	46	
'	800	706	13	46	
m	810	706	13	46	
hid	854	706	52	47	
-	927	707	13	46	
ing	962	707	46	46	
,	1012	707	13	46	
In	1054	707	26	47	
the	1157	708	52	46	
Lord	1233	708	84	47	
of	1340	709	34	46	
hosts	1395	709	89	47	
con	1511	710	46	46	
-	1576	710	13	46	
fid	1600	710	33	47	
-	1642	711	13	46	
ing	1657	711	52	46	
;	1712	711	13	46	
3	254	761	14	50	
.	270	761	14	50	
How	306	761	71	50	
can	432	761	50	50	
I	530	761	14	50	
be	610	761	37	50	
sad	694	761	50	50	
and	786	761	57	50	
wea	869	761	64	50	
-	948	761	14	50	
ry	973	761	36	50	
,	1009	761	14	50	
Or	1046	761	47	50	
my	1146	761	56	50	
days	1228	761	77	50	
be	1328	761	45	50	
dark	1396	761	77	50	
and	1493	761	57	50	
drear	1574	761	93	50	
-	1667	761	14	50	
y	1683	761	14	50	
,	1703	761	14	50	
4	254	812	13	47	
.	273	812	13	47	
Voic	307	812	72	48	
-	403	813	13	47	
es	436	813	27	47	
of	510	814	43	47	
the	594	814	53	47	
world	671	814	92	48	
are	790	815	54	47	
call	860	815	66	48	
-	935	816	13	47	
ing	960	816	47	47	
,	1012	816	13	47	
Dan	1052	816	61	48	
-	1123	817	13	47	
gers	1134	817	73	47	
may	1221	817	74	48	
be	1318	818	35	47	
fierce	1379	818	89	48	
,	1468	819	13	47	
ap	1501	819	34	47	
-	1550	819	13	47	
pall	1578	819	63	48	
-	1641	820	13	47	
ing	1656	820	54	47	
,	1713	820	13	47	
ne	-4	1172	26	19	
But	282	1392	59	51	
no	386	1392	38	51	
0	477	1392	14	51	
-	523	1392	14	51	
vil	563	1392	44	51	
shall	652	1392	85	51	
con	778	1392	52	51	
-	835	1392	14	51	
found	849	1392	95	51	
me	985	1392	57	51	
Safe	277	1451	74	48	
-	368	1451	13	48	
ly	400	1451	18	48	
He	468	1451	43	48	
my	552	1451	61	48	
soul	656	1451	75	48	
is	785	1451	27	48	
guid	862	1451	67	48	
-	951	1451	13	48	
ing	981	1451	48	48	
Flood	285	1507	90	48	
-	379	1507	13	48	
ed	393	1507	36	48	
by	460	1507	43	48	
His	551	1507	55	48	
sun	660	1507	48	48	
-	727	1507	13	48	
light	753	1507	82	48	
cheer	854	1507	93	48	
-	963	1507	13	48	
y	992	1507	13	48	
,	1012	1507	13	48	
But	283	1559	58	46	
I	393	1560	13	46	
shall	451	1560	81	46	
be	560	1560	42	46	
kept	644	1561	85	46	
from	749	1561	72	46	
fall	867	1562	65	46	
-	943	1562	13	46	
ing	972	1562	53	46	
In	1116	1392	29	51	
the	1189	1392	52	51	
ev	1272	1392	29	51	
-	1324	1392	14	51	
er	1356	1392	28	51	
-	1407	1392	14	51	
last	1434	1392	65	51	
-	1506	1392	14	51	
ing	1532	1392	52	51	
arms	1624	1392	89	51	
.	1709	1392	14	51	
By	1114	1451	45	48	
His	1188	1451	55	48	
ev	1268	1451	36	48	
-	1323	1451	13	48	
er	1352	1451	35	48	
-	1402	1451	13	48	
last	1432	1451	61	48	
-	1504	1451	13	48	
ing	1530	1451	54	48	
arms	1626	1451	90	48	
.	1710	1451	13	48	
In	1116	1507	26	48	
His	1190	1507	55	48	
ey	1270	1507	36	48	
-	1325	1507	13	48	
er	1354	1507	35	48	
-	1404	1507	13	48	
last	1434	1507	68	48	
-	1511	1507	13	48	
ing	1539	1507	47	48	
arms	1628	1507	90	48	
.	1712	1507	13	48	
By	1110	1563	42	46	
His	1183	1563	52	46	
ev	1266	1563	34	46	
-	1319	1563	13	46	
er	1351	1564	34	46	
-	1404	1564	13	46	
last	1433	1564	65	46	
-	1507	1564	13	46	
ing	1538	1564	46	46	
arms	1629	1565	83	46	
.	1714	1565	13	46	
2	1640	1625	7	31	
-	-1	1870	3	17	
er	4	1870	33	19	
CHORUS	279	1926	132	40	
.	415	1926	11	40	
ST	1222	2061	21	19	
Safe	284	2175	78	46	
-	366	2175	13	46	
ly	383	2175	18	46	
sheltered	427	2175	160	46	
in	619	2175	17	46	
the	687	2175	52	46	
Rock	758	2175	76	46	
of	864	2175	33	46	
A	940	2175	13	46	
-	987	2175	13	46	
ges	1021	2175	59	46	
,	1081	2175	13	46	
Tho	1111	2175	59	46	
'	1175	2175	13	46	
the	1204	2175	52	46	
tempest	1277	2175	142	46	
round	1437	2175	97	46	
a	1555	2175	13	46	
-	1574	2175	13	46	
bout	1585	2175	85	46	
me	1690	2175	59	46	
ne	-6	2356	32	22	
cres	525	2553	65	37	
.	593	2556	8	34	
.	614	2557	8	34	
.	635	2557	8	34	
GOO	1743	2716	12	60	
A	159	2740	32	8	
rag	279	2783	56	49	
-	360	2783	14	49	
es	391	2783	27	49	
;	425	2783	14	49	
Shield	499	2783	99	49	
-	605	2783	14	49	
ed	619	2783	36	49	
from	674	2783	71	49	
all	779	2783	42	49	
fear	844	2783	76	49	
and	934	2783	56	49	
harm	1014	2783	76	49	
In	1121	2783	27	49	
the	1184	2783	56	49	
ev	1289	2783	36	49	
-	1345	2783	14	49	
er	1376	2783	27	49	
-	1425	2783	14	49	
last	1456	2783	64	49	
-	1520	2783	14	49	
ing	1536	2783	49	49	
arms	1609	2783	85	49	
.	1695	2783	14	49	
