content	x	y	w	h	
GENERAL	981	459	600	111	
INDEX	1663	462	358	110	
.	2050	464	33	109	
PAGE	1834	728	72	23	
PAGE	2615	727	72	29	
.	965	761	4	17	
:	1036	898	18	4	
•	1768	914	17	5	
•	1766	959	17	5	
:	1033	1074	18	4	
PAGE	1050	717	74	31	
A	387	736	14	46	
Home	439	737	130	50	
Above	589	741	124	48	
.	716	743	14	46	
.	730	743	14	46	
.	744	744	14	46	
.	758	745	14	46	
.	772	745	14	46	
.	786	745	14	46	
.	805	745	14	46	
.	819	746	14	46	
.	833	746	14	46	
.	847	746	14	46	
15	1087	743	37	50	
|	1145	743	14	50	
I	1165	744	14	50	
am	1210	744	36	50	
Persuaded	1295	744	189	51	
.	1496	745	14	50	
.	1512	745	14	50	
.	1527	745	14	50	
.	1542	745	14	50	
.	1558	746	14	50	
.	1568	746	14	50	
.	1583	746	14	50	
23	1873	749	36	48	
Shall	1952	749	97	49	
we	2065	750	54	48	
sing	2130	750	77	49	
in	2225	751	18	48	
heaven	2268	751	131	49	
.	2408	752	13	48	
.	2423	752	13	48	
All	384	787	61	43	
hail	461	787	79	43	
the	556	788	62	43	
power	634	788	112	43	
of	762	789	39	43	
Jesus	819	789	103	43	
'	918	789	12	43	
13	1089	789	37	50	
I	1167	790	14	50	
am	1202	790	36	50	
the	1272	790	65	50	
Vine	1356	791	93	50	
.	1453	791	14	50	
.	1463	791	14	50	
.	1478	791	14	50	
.	1493	791	14	50	
.	1511	791	14	50	
.	1524	791	14	50	
.	1539	791	14	50	
.	1555	792	14	50	
.	1565	792	14	50	
.	1575	792	14	50	
Sing	1952	795	79	51	
His	2048	796	71	50	
Glory	2135	796	113	51	
.	2254	797	14	50	
.	2269	797	14	50	
.	2284	797	14	50	
.	2294	797	14	50	
.	2310	797	14	50	
.	2325	797	14	50	
.	2345	797	14	50	
.	2356	797	14	50	
.	2371	798	14	50	
.	2386	798	14	50	
.	2401	798	14	50	
I	1168	831	14	47	
am	1198	832	44	47	
waiting	1273	833	147	51	
for	1442	837	55	48	
the	1514	838	62	49	
.	1585	841	14	47	
.	1600	841	14	47	
.	1614	841	14	47	
Sinner	1949	841	122	51	
go	2091	842	38	50	
,	2134	842	14	50	
will	2160	842	79	51	
you	2255	843	64	50	
go	2341	843	38	50	
.	2389	844	14	50	
.	2399	844	14	50	
.	2415	844	14	50	
.	2430	844	14	50	
.	2445	844	14	50	
.	2460	844	14	50	
Beautiful	382	861	192	46	
Land	584	862	100	45	
.	690	862	12	45	
.	704	862	12	45	
.	718	862	12	45	
39	1084	877	39	36	
|	1142	878	10	35	
I	1170	880	10	35	
have	1192	881	98	38	
a	1307	884	10	35	
hone	1341	885	114	39	
.	1451	888	10	35	
.	1466	889	10	35	
.	1480	889	10	35	
.	1498	890	10	35	
.	1511	890	10	35	
Sorrows	1945	885	157	43	
.	2104	889	12	40	
.	2117	889	12	40	
.	2129	889	12	40	
.	2145	889	12	40	
.	2158	889	12	40	
.	2174	891	12	40	
.	2191	891	12	40	
.	2203	891	12	40	
.	2215	891	12	40	
Beautiful	385	903	188	52	
River	581	904	107	51	
of	710	904	37	51	
Life	765	905	73	51	
.	846	905	14	51	
.	861	905	14	51	
.	877	905	14	51	
.	887	905	14	51	
.	903	905	14	51	
.	918	905	14	51	
.	927	905	14	51	
I	1165	925	11	42	
love	1201	925	73	42	
thy	1293	925	59	42	
kingdom	1371	926	157	42	
.	1561	927	11	42	
.	1574	927	11	42	
.	1587	927	11	42	
.	1599	927	11	42	
.	1612	927	11	42	
.	1630	927	11	42	
.	1642	927	11	42	
.	1655	927	11	42	
.	1672	927	11	42	
35	1870	928	33	46	
Sowing	1947	928	139	47	
in	2107	929	25	46	
the	2161	929	66	47	
morn	2234	930	95	46	
.	2350	930	13	46	
.	2369	930	13	46	
.	2383	931	13	46	
.	2392	931	13	46	
.	2402	931	13	46	
.	2411	931	13	46	
.	2420	931	13	46	
.	2434	931	13	46	
.	2449	931	13	46	
Behold	384	953	123	42	
the	534	953	59	43	
lilies	611	954	97	42	
.	711	954	11	42	
.	724	954	11	42	
.	741	955	11	42	
.	754	955	11	42	
.	767	955	11	42	
.	784	955	11	42	
.	802	955	11	42	
.	814	955	11	42	
I	1167	970	12	43	
'	1180	970	12	43	
ll	1193	970	31	43	
sing	1237	970	79	43	
of	1336	970	39	44	
Jesus	1398	971	101	43	
'	1501	971	12	43	
Love	1528	971	94	44	
.	1629	972	12	43	
.	1642	972	12	43	
.	1655	972	12	43	
.	1668	972	12	43	
.	1682	972	12	43	
.	1695	972	12	43	
.	1712	972	12	43	
.	1730	972	12	43	
.	1742	972	12	43	
Stand	1948	971	101	49	
for	2070	972	54	48	
the	2145	972	63	49	
Right	2223	973	115	48	
.	2341	973	13	48	
.	2350	973	13	48	
.	2365	973	13	48	
.	2380	974	13	48	
.	2394	974	13	48	
.	2404	974	13	48	
.	2419	974	13	48	
.	2434	974	13	48	
.	2448	974	13	48	
.	2463	974	13	48	
.	2478	974	13	48	
Behold	384	994	129	48	
the	539	995	61	48	
love	618	995	73	48	
of	714	995	34	48	
Christ	764	996	120	48	
.	886	996	13	48	
.	901	996	13	48	
.	916	996	13	48	
.	930	996	13	48	
.	945	997	13	48	
.	960	997	13	48	
.	975	997	13	48	
.	989	997	13	48	
.	1004	997	13	48	
.	1013	997	13	48	
In	1163	1013	33	46	
the	1235	1013	59	46	
rifted	1318	1013	99	47	
rock	1449	1014	76	46	
.	1539	1014	13	46	
.	1554	1014	13	46	
.	1568	1015	13	46	
.	1582	1015	13	46	
.	1596	1015	13	46	
.	1610	1015	13	46	
.	1623	1015	13	46	
Bringing	379	1039	170	47	
in	577	1040	25	47	
the	633	1040	60	47	
Sheaves	717	1040	151	48	
.	874	1041	13	47	
.	888	1041	13	47	
.	902	1041	13	47	
.	917	1041	13	47	
.	931	1041	13	47	
.	943	1041	13	47	
.	960	1042	13	47	
.	974	1042	13	47	
.	989	1042	13	47	
.	1003	1042	13	47	
.	1012	1042	13	47	
Take	1950	1035	89	49	
our	2060	1036	61	48	
Hands	2142	1036	131	49	
.	2277	1037	13	48	
.	2287	1037	13	48	
.	2301	1037	13	48	
.	2316	1037	13	48	
.	2331	1037	13	48	
.	2345	1037	13	48	
.	2360	1037	13	48	
.	2375	1038	13	48	
It	1163	1057	35	46	
is	1217	1058	26	46	
Easy	1263	1059	85	48	
.	1357	1062	14	46	
.	1375	1063	14	46	
.	1389	1063	14	46	
By	384	1086	45	48	
and	453	1086	69	48	
By	556	1087	43	48	
.	623	1087	13	48	
.	637	1087	13	48	
.	652	1087	13	48	
.	667	1087	13	48	
.	681	1087	13	48	
.	696	1087	13	48	
Tarry	1948	1084	105	43	
with	2071	1085	79	42	
me	2169	1086	61	42	
.	2233	1086	11	42	
.	2245	1086	11	42	
.	2263	1086	11	42	
.	2276	1086	11	42	
.	2289	1086	11	42	
.	2301	1086	11	42	
.	2319	1086	11	42	
.	2336	1086	11	42	
.	2349	1086	11	42	
Jesus	1166	1124	103	46	
,	1266	1124	13	46	
lover	1295	1124	93	47	
of	1405	1125	41	46	
my	1460	1125	67	46	
soul	1542	1125	83	47	
.	1623	1126	13	46	
Tell	1950	1127	70	44	
me	2032	1128	63	43	
the	2110	1128	62	43	
Dear	2188	1129	92	43	
Old	2295	1129	62	43	
Story	2387	1130	95	43	
.	2489	1130	12	43	
Come	376	1160	115	46	
,	484	1160	13	46	
humble	509	1160	148	47	
sinner	678	1161	116	47	
.	799	1162	13	46	
.	813	1162	13	46	
.	827	1162	13	46	
.	841	1162	13	46	
27	1085	1166	38	51	
Joy	1163	1167	66	51	
to	1248	1167	29	51	
the	1300	1167	59	51	
world	1372	1168	108	51	
.	1493	1168	14	51	
.	1508	1168	14	51	
.	1519	1168	14	51	
.	1534	1168	14	51	
.	1549	1168	14	51	
The	1949	1169	70	42	
Book	2039	1171	89	41	
of	2160	1172	37	41	
Books	2217	1173	118	41	
.	2338	1174	12	40	
.	2351	1174	12	40	
.	2363	1174	12	40	
.	2379	1176	12	40	
.	2396	1176	12	40	
.	2408	1176	12	40	
.	2424	1176	12	40	
.	2437	1176	12	40	
Come	380	1206	109	46	
,	486	1206	13	46	
sit	515	1206	39	47	
by	565	1207	51	46	
me	628	1207	68	46	
in	711	1207	33	46	
.	754	1208	13	46	
The	1947	1213	72	43	
Lilies	2040	1216	105	42	
.	2149	1217	12	41	
.	2166	1219	12	41	
.	2178	1219	12	41	
.	2191	1219	12	41	
Come	378	1247	111	47	
,	484	1247	13	47	
is	516	1247	27	47	
the	558	1248	60	47	
Savior	644	1248	117	48	
'	765	1249	13	47	
s	779	1249	13	47	
.	798	1249	13	47	
Lead	1164	1230	89	48	
us	1272	1230	45	48	
,	1314	1230	13	48	
heavenly	1341	1230	168	49	
Father	1530	1231	132	49	
.	1667	1232	13	48	
.	1682	1232	13	48	
.	1692	1232	13	48	
.	1706	1232	13	48	
.	1721	1232	13	48	
.	1739	1232	13	48	
.	1753	1232	13	48	
.	1765	1233	13	48	
.	1780	1233	13	48	
.	1794	1233	13	48	
The	1950	1258	68	44	
Sinner	2043	1259	127	43	
'	2168	1260	12	43	
s	2181	1260	12	43	
Friend	2225	1260	127	43	
.	2357	1260	12	43	
.	2374	1261	12	43	
Come	380	1295	105	42	
to	499	1295	30	42	
