content	x	y	w	h	
GLORIES	340	218	158	51	
OF	523	220	47	50	
CHRIST	602	220	124	51	
.	726	222	14	50	
O	180	315	13	46	
how	215	315	59	46	
shall	303	316	83	46	
I	401	317	13	46	
speak	430	317	89	47	
of	541	318	34	46	
his	591	318	52	47	
worth	655	319	103	47	
,	763	320	13	46	
Or	213	355	47	50	
what	267	355	93	51	
his	368	356	51	51	
chief	436	357	80	51	
dignities	536	358	155	51	
are	701	359	56	51	
?	768	360	14	50	
His	174	406	55	35	
angels	247	405	106	36	
can	369	405	50	36	
never	437	406	101	35	
express	556	406	125	35	
,	685	406	9	35	
Nor	210	445	68	34	
saints	292	446	95	34	
that	404	447	70	34	
sit	488	447	39	35	
nearest	540	448	127	35	
his	682	449	48	35	
throne	747	450	113	35	
,	860	451	9	34	
How	170	486	74	40	
rich	270	487	58	40	
are	352	487	52	41	
his	415	488	46	40	
treasures	479	488	157	42	
of	649	490	38	40	
grace	707	490	94	41	
;	816	491	24	40	
No	213	527	50	46	
,	259	527	13	46	
this	288	528	58	46	
is	364	528	25	46	
a	405	529	13	46	
myst	431	529	91	47	
’	518	530	13	46	
ry	531	530	34	46	
unknown	587	530	160	48	
.	748	532	13	46	
2	133	575	13	46	
In	176	576	25	46	
him	226	576	46	46	
,	288	577	13	46	
all	315	577	46	46	
the	373	577	53	47	
fulness	444	578	114	47	
of	578	579	34	46	
God	624	580	72	46	
For	215	621	55	43	
ever	292	622	71	43	
transcendently	376	622	255	46	
shines	654	625	100	44	
,	759	626	12	43	
Though	177	662	124	43	
once	324	663	76	43	
like	417	664	62	42	
a	493	665	11	42	
mortal	518	665	127	43	
he	651	666	47	42	
stood	711	666	88	43	
,	807	667	11	42	
To	218	708	35	38	
finish	279	709	73	38	
his	373	709	49	39	
gracious	440	710	146	39	
designs	599	711	131	39	
.	732	713	10	38	
Though	178	748	122	41	
once	321	749	79	41	
he	410	750	44	40	
was	462	750	68	41	
nailed	542	751	102	41	
to	668	752	29	40	
the	719	753	51	40	
cross	787	753	82	41	
,	870	754	11	40	
Vile	216	790	69	41	
rebels	301	791	97	41	
like	419	792	57	40	
me	488	792	57	41	
to	559	793	30	40	
set	608	794	46	40	
free	672	794	60	41	
;	749	795	11	40	
His	174	834	57	39	
glory	252	833	84	41	
sustained	354	834	154	41	
no	523	834	45	40	
loss	584	834	62	41	
.	646	834	11	40	
Eternal	213	874	130	43	
his	353	875	48	43	
kingdom	411	876	142	43	
shall	589	877	78	43	
be	678	878	47	42	
.	726	879	11	42	
3	135	922	13	48	
His	170	923	62	48	
wisdom	245	923	110	49	
,	371	924	13	48	
his	392	925	47	48	
love	460	925	75	49	
,	532	926	13	48	
and	556	926	62	48	
his	632	927	48	48	
power	703	927	104	49	
,	807	928	13	48	
Seemed	215	970	122	41	
then	359	971	64	41	
with	442	972	69	41	
each	541	973	66	40	
other	629	974	89	40	
to	740	975	21	40	
vie	787	975	46	40	
;	845	976	11	40	
When	169	1010	95	42	
sinners	287	1011	114	43	
he	416	1012	39	42	
stooped	469	1012	126	43	
to	616	1014	30	42	
restore	661	1014	125	43	
,	784	1015	11	42	
Poor	212	1052	84	43	
sinners	313	1053	114	43	
condemned	444	1054	185	44	
to	650	1056	31	42	
die	700	1056	48	43	
.	750	1057	11	42	
He	174	1091	51	40	
laid	241	1092	51	41	
all	317	1093	41	40	
his	374	1094	45	41	
grandeur	438	1095	158	42	
aside	610	1098	90	41	
,	699	1099	12	40	
And	216	1133	64	41	
dwelt	299	1135	98	42	
in	410	1137	22	41	
a	458	1138	12	40	
cottage	490	1139	127	42	
of	631	1142	39	40	
clay	687	1142	71	42	
;	770	1144	12	40	
Poor	174	1178	77	40	
sinners	273	1179	114	40	
he	400	1180	38	40	
loved	457	1180	85	41	
till	562	1181	52	41	
be	629	1182	43	40	
died	681	1182	70	41	
,	760	1183	11	40	
To	216	1218	41	46	
wash	270	1219	77	46	
their	367	1219	78	47	
pollution	464	1220	153	48	
away	639	1222	88	46	
.	730	1223	13	46	
4	133	1280	12	45	
O	179	1281	12	45	
sinners	216	1281	118	46	
,	335	1282	12	45	
believe	355	1282	124	46	
,	478	1283	12	45	
and	504	1284	58	45	
adore	582	1284	93	46	
This	217	1323	65	42	
Saviour	303	1325	127	42	
so	447	1327	31	40	
rich	496	1328	60	40	
to	578	1329	31	40	
redeem	628	1330	109	42	
;	763	1332	12	40	
No	171	1365	51	40	
creature	236	1366	137	42	
can	392	1369	53	40	
ever	466	1369	71	42	
explore	556	1371	127	42	
The	217	1408	62	44	
treasures	296	1409	146	45	
of	461	1410	32	44	
goodness	514	1411	153	45	
in	683	1412	24	44	
him	730	1413	49	44	
.	800	1413	12	44	
Come	168	1452	100	42	
all	284	1453	42	42	
ye	338	1453	39	42	
who	392	1454	67	42	
see	478	1454	48	43	
yourselves	538	1455	185	44	
lost	740	1457	59	42	
,	806	1457	11	42	
And	213	1492	69	44	
feel	303	1493	62	44	
yourselves	378	1494	181	45	
burdened	572	1495	151	46	
with	748	1497	70	44	
sin	842	1498	43	44	
,	892	1498	12	44	
Draw	174	1534	81	44	
near	276	1535	76	44	
,	357	1535	12	44	
while	379	1536	88	44	
with	483	1536	69	45	
terror	576	1537	100	45	
you	698	1538	56	45	
'	762	1539	12	44	
re	774	1539	32	44	
tossed	825	1540	92	44	
,	928	1540	12	44	
Believe	211	1579	129	44	
,	338	1580	12	43	
and	364	1580	55	44	
your	437	1581	79	44	
peace	535	1582	89	44	
shall	642	1583	81	44	
begin	736	1584	87	43	
.	840	1585	12	43	
Now	170	1638	62	44	
,	246	1638	12	44	
sinners	272	1639	122	45	
,	395	1640	12	44	
attend	421	1640	99	45	
to	542	1641	32	44	
his	590	1641	50	45	
call	655	1642	66	45	
,	723	1643	12	44	
·	207	1681	12	40	
Whoso	228	1681	111	42	
hath	354	1683	75	41	
an	446	1685	38	40	
ear	505	1686	53	40	
let	570	1686	47	42	
him	631	1688	46	40	
hear	707	1688	80	42	
;	797	1690	12	40	
'	809	1690	12	40	
He	170	1723	51	40	
promises	233	1724	151	42	
mercy	393	1727	108	41	
to	518	1729	30	40	
all	565	1729	47	42	
Who	206	1765	81	42	
feel	308	1767	57	40	
their	380	1769	77	40	
sad	480	1770	47	41	
wants	544	1771	98	42	
,	647	1773	12	40	
far	673	1773	47	40	
and	732	1775	58	40	
near	803	1775	78	42	
,	884	1777	12	40	
69	516	1814	35	27	
