content	x	y	w	h	
I	535	261	34	116	
'	559	261	34	116	
M	583	261	34	116	
A	712	261	34	116	
CHILD	812	261	260	116	
OF	1125	261	129	116	
THE	1307	261	183	116	
KING	1526	261	235	116	
.	1774	261	34	116	
Concluded	1889	261	354	116	
.	2246	261	34	116	
cali	35	398	86	34	
(	-3	499	9	40	
AS	15	500	57	42	
.	75	503	9	40	
And	312	671	129	79	
I	469	669	24	80	
'	485	669	24	80	
ll	511	669	47	80	
make	565	668	168	79	
His	756	667	105	79	
praises	885	666	205	78	
ring	1116	664	128	79	
!	1248	662	24	80	
I	1289	662	24	80	
'	1313	662	24	80	
m	1338	662	24	80	
a	1428	661	24	80	
child	1475	660	148	79	
of	1923	663	71	77	
the	2011	663	100	77	
King	2135	663	155	77	
.	2294	663	22	77	
I	1578	729	22	76	
'	1594	729	22	76	
m	1625	729	22	76	
a	1709	729	22	76	
child	1755	729	144	76	
of	1939	729	56	76	
the	2016	729	97	76	
heavenly	2143	729	272	76	
King	2453	729	153	76	
:	2610	729	22	76	
of	-6	865	47	59	
th	63	876	39	58	
LADI	1014	867	63	155	
I	1610	948	14	51	
No	173	1115	125	84	
.	293	1115	24	84	
48	339	1115	78	84	
.	422	1115	24	84	
JENNIE	277	1204	174	71	
WILSON	480	1203	186	71	
.	680	1202	20	72	
FARTHER	1061	1085	442	116	
ON	1556	1085	129	116	
.	1710	1085	34	116	
“	797	1201	20	72	
Walk	833	1201	122	72	
while	979	1200	151	72	
ye	1153	1200	53	72	
have	1223	1199	132	72	
the	1375	1199	82	71	
light	1479	1198	124	72	
.	1600	1198	20	72	
”	1614	1198	20	72	
—	1666	1197	20	72	
JOHN	1710	1197	119	72	
12	1871	1197	40	71	
:	1921	1196	20	72	
35	1948	1196	53	72	
.	2001	1196	20	72	
J	2160	1208	12	46	
.	2183	1208	12	46	
E	2235	1209	12	46	
.	2263	1210	12	46	
THOMAS	2315	1211	197	51	
.	2517	1215	12	46	
at	-17	1678	69	64	
&	80	1686	11	59	
1	256	1580	22	76	
.	279	1580	22	76	
When	334	1580	177	76	
the	539	1580	98	76	
gloom	651	1580	163	76	
of	871	1580	55	76	
night	945	1580	169	76	
surrounds	1133	1580	240	76	
you	1402	1580	97	76	
,	1511	1580	22	76	
Wait	1559	1580	150	76	
with	1735	1580	131	76	
patience	1906	1580	260	76	
for	2198	1580	87	76	
the	2303	1580	108	76	
dawn	2422	1580	166	76	
;	2612	1580	22	76	
2	253	1649	21	74	
.	283	1649	21	74	
Far	336	1649	105	74	
-	471	1649	21	74	
ther	514	1649	130	74	
on	694	1649	55	74	
the	829	1649	106	74	
toil	964	1649	104	74	
-	1071	1649	21	74	
some	1092	1649	164	74	
journey	1275	1649	231	74	
Ends	1561	1649	151	74	
where	1720	1649	191	74	
walls	1930	1649	158	74	
of	2109	1649	68	74	
jas	2190	1649	84	74	
-	2278	1649	21	74	
per	2304	1649	95	74	
gleam	2419	1649	155	74	
;	2616	1649	21	74	
3	252	1717	21	74	
.	282	1717	21	74	
Far	348	1717	95	74	
-	462	1717	21	74	
ther	516	1717	119	74	
on	682	1717	68	74	
the	828	1717	105	74	
heav	960	1717	143	74	
-	1129	1717	21	74	
y	1182	1717	21	74	
burdens	1242	1717	269	74	
,	1504	1717	21	74	
Which	1551	1717	194	74	
have	1785	1717	140	74	
been	1947	1717	135	74	
so	2118	1717	54	74	
hard	2194	1717	136	74	
to	2376	1717	41	74	
bear	2449	1717	146	74	
,	2592	1717	21	74	
4	246	1785	20	69	
.	281	1785	20	69	
Far	337	1785	98	69	
-	463	1785	20	69	
ther	510	1785	131	69	
on	683	1785	63	69	
