content	x	y	w	h	
No	3246	590	78	39	
.	3321	585	15	41	
154	1964	735	76	52	
142	3253	802	83	42	
46	3278	866	48	39	
ca	2015	937	16	33	
98	3277	944	53	25	
183	3257	1010	83	25	
17	3291	1267	47	44	
141	1959	1327	87	45	
165	1963	1389	76	53	
99	3279	1409	54	32	
62	3271	1466	63	37	
I	3292	1540	6	31	
108	3259	1802	81	43	
No	1945	591	87	68	
.	2031	591	19	68	
Lord	854	659	118	69	
,	979	658	20	70	
I	1050	658	20	70	
hear	1103	657	117	70	
of	1268	656	53	70	
showers	1364	656	204	69	
.	1576	654	20	70	
.	1604	654	20	70	
134	1964	672	68	48	
Say	2145	655	87	66	
yes	2281	652	87	67	
to	2409	650	39	67	
the	2498	649	77	66	
Spirit	2621	646	145	65	
.	2775	644	20	67	
Lord	852	728	122	58	
,	983	729	16	58	
I	1060	729	16	58	
'	1078	729	16	58	
m	1095	729	16	58	
coming	1200	730	177	58	
home	1434	730	137	59	
.	1573	730	16	58	
.	1609	731	16	58	
.	1632	731	16	58	
Shadows	2151	724	230	57	
will	2421	722	97	58	
go	2573	721	43	58	
.	2633	721	16	58	
.	2663	721	16	58	
.	2692	720	16	58	
.	2722	720	16	58	
.	2751	720	16	58	
.	2781	720	16	58	
Love	852	800	128	53	
divine	1041	799	166	53	
.	1212	798	15	54	
.	1239	797	15	54	
.	1272	797	15	54	
.	1300	797	15	54	
.	1333	797	15	54	
.	1360	797	15	54	
.	1393	797	15	54	
.	1421	796	15	54	
.	1897	801	14	49	
167	1963	801	63	49	
.	2047	800	14	49	
Show	2143	795	125	53	
pity	2343	794	91	53	
,	2440	793	15	54	
Lord	2520	792	120	54	
.	2654	792	15	54	
.	2687	791	15	54	
.	2715	791	15	54	
.	2748	791	15	54	
.	2775	791	15	54	
.	2808	791	15	54	
.	2836	790	15	54	
.	2869	790	15	54	
.	2895	790	15	54	
Loving	855	860	182	61	
kindness	1097	858	224	61	
.	1334	857	17	62	
.	1359	857	17	62	
.	1391	857	17	62	
.	1422	856	17	62	
.	1454	856	17	62	
.	1479	856	17	62	
143	1958	872	79	46	
Some	2147	855	141	59	
day	2317	854	85	59	
the	2438	853	77	60	
silver	2546	852	135	60	
cord	2723	851	104	60	
will	2855	850	105	60	
break	2982	850	132	59	
.	3139	849	17	60	
.	3163	848	17	60	
.	3194	848	17	60	
Lift	856	927	100	69	
high	998	926	111	69	
the	1166	925	80	70	
Saviour	1298	924	193	69	
'	1499	923	20	70	
s	1513	923	20	70	
cross	1592	922	126	70	
.	1726	921	20	70	
.	1754	921	20	70	
Some	2144	924	146	59	
sweet	2325	926	137	58	
message	2493	927	213	58	
.	2717	927	16	58	
.	2752	928	16	58	
.	2776	928	16	58	
.	2811	928	16	58	
.	2841	928	16	58	
.	2870	928	16	58	
.	2900	928	16	58	
.	2929	929	16	58	
.	2959	929	16	58	
.	2988	930	16	58	
.	3018	929	16	58	
.	3047	929	16	58	
.	3077	930	16	58	
.	3106	930	16	58	
Light	848	995	148	66	
at	1019	996	47	65	
the	1094	996	83	65	
end	1196	997	93	64	
of	1313	997	60	65	
journey	1394	998	200	64	
.	1607	998	18	65	
.	1634	998	18	65	
Stand	2151	989	145	58	
up	2337	990	66	58	
for	2454	991	75	59	
Jesus	2576	992	136	59	
.	2722	993	17	58	
.	2751	993	17	58	
.	2781	994	17	58	
.	2810	994	17	58	
.	2840	994	17	58	
.	2869	994	17	58	
.	2905	995	17	58	
.	2934	995	17	58	
.	2964	996	17	58	
.	2993	995	17	58	
.	3023	996	17	58	
.	3052	996	17	58	
.	3082	996	17	58	
.	3111	997	17	58	
.	3141	997	17	58	
.	3170	997	17	58	
.	3200	997	17	58	
Sunlight	2136	1056	238	61	
.	2428	1059	17	58	
.	2457	1060	17	58	
.	2487	1060	17	58	
.	2516	1060	17	58	
.	2552	1060	17	58	
.	2581	1061	17	58	
.	2611	1061	17	58	
.	2640	1062	17	58	
.	2670	1062	17	58	
.	2699	1062	17	58	
.	2729	1062	17	58	
.	2758	1063	17	58	
.	2788	1063	17	58	
.	2817	1064	17	58	
.	2847	1063	17	58	
.	2876	1064	17	58	
.	2912	1065	17	58	
.	2941	1065	17	58	
.	2971	1066	17	58	
.	3000	1065	17	58	
.	3030	1066	17	58	
.	3059	1066	17	58	
95	3280	1069	54	48	
Martyn	842	1124	195	51	
I	1969	1127	10	37	
20	1987	1127	48	37	
Sweet	2145	1124	153	59	
hour	2342	1126	121	58	
of	2499	1127	64	58	
prayer	2602	1127	162	59	
.	2777	1129	16	58	
.	2806	1129	16	58	
.	2842	1129	16	58	
.	2871	1129	16	58	
.	2901	1129	16	58	
.	2930	1130	16	58	
.	2960	1130	16	58	
.	2989	1131	16	58	
.	3019	1130	16	58	
.	3173	1136	13	48	
.	3197	1136	13	48	
151	3251	1136	82	47	
Missionary	844	1184	291	60	
bells	1178	1182	116	61	
.	1309	1181	17	62	
.	1341	1181	17	62	
.	1366	1181	17	62	
.	1395	1181	17	62	
Sweet	2139	1196	156	61	
moments	2336	1195	236	60	
of	2620	1193	58	62	
prayer	2724	1192	157	61	
.	2896	1191	17	62	
.	2927	1191	17	62	
.	2959	1191	17	62	
.	2990	1191	17	62	
.	3016	1190	17	62	
.	3047	1190	17	62	
.	3168	1199	15	54	
.	3195	1199	15	54	
152	3260	1199	77	53	
More	842	1251	143	59	
and	1024	1250	86	59	
more	1137	1249	133	59	
I	1319	1248	17	60	
need	1362	1248	115	59	
thee	1518	1247	109	59	
.	1636	1246	17	60	
.	1661	1246	17	60	
.	1691	1246	17	60	
.	1722	1245	17	60	
.	1752	1245	17	60	
.	1783	1245	17	60	
.	1813	1245	17	60	
.	1844	1245	17	60	
Sweet	2152	1255	152	73	
peace	2350	1254	134	73	
,	2486	1253	21	74	
the	2548	1252	84	74	
gift	2683	1251	86	74	
of	2815	1251	54	73	
.	2869	1250	21	74	
.	2899	1250	21	74	
.	2929	1250	21	74	
.	2959	1250	21	74	
.	2989	1250	21	74	
.	3019	1249	21	74	
.	3049	1249	21	74	
.	3079	1249	21	74	
.	3109	1249	21	74	
.	3139	1249	21	74	
More	848	1318	140	66	
like	1043	1317	90	66	
Jesus	1187	1316	144	66	
.	1334	1315	19	67	
.	1361	1315	19	67	
.	1395	1315	19	67	
.	1422	1314	19	67	
.	1456	1314	19	67	
.	1484	1314	19	67	
.	1511	1314	19	67	
.	1545	1314	19	67	
More	849	1383	146	69	
love	1036	1384	106	68	
to	1190	1384	38	69	
thee	1281	1384	104	70	
.	1391	1385	20	69	
.	1426	1384	20	69	
.	1454	1384	20	69	
.	1482	1385	20	69	
.	1517	1385	20	69	
.	1545	1385	20	69	
.	1573	1384	20	69	
.	1601	1385	20	69	
.	1636	1385	20	69	
.	1664	1385	20	69	
.	1692	1385	20	69	
.	1720	1385	20	69	
.	1755	1385	20	69	
.	1783	1385	20	69	
'	2137	1396	17	62	
Tell	2157	1396	97	61	
me	2270	1395	91	62	
the	2381	1394	80	62	
old	2492	1394	71	61	
,	2572	1393	17	62	
old	2617	1393	72	61	
story	2736	1392	119	61	
.	2871	1391	17	62	
.	2899	1391	17	62	
My	841	1455	99	61	
country	975	1455	190	61	
,	1172	1456	17	60	
'	1227	1456	17	60	
tis	1244	1456	60	60	
of	1347	1457	44	60	
thee	1435	1456	96	61	
.	1544	1457	17	60	
.	1574	1457	17	60	
.	1605	1457	17	60	
.	1635	1457	17	60	
.	1666	1457	17	60	
.	1696	1458	17	60	
.	1727	1457	17	60	
.	1739	1457	17	60	
.	1757	1457	17	60	
.	1814	1465	13	48	
.	1843	1465	13	48	
.	1872	1465	13	48	
.	1902	1464	13	48	
187	1963	1464	74	48	
The	2153	1464	92	54	
best	2285	1465	105	53	
friend	2438	1465	156	54	
is	2644	1466	30	54	
Jesus	2727	1466	134	54	
.	2868	1466	15	54	
.	2901	1467	15	54	
.	2929	1467	15	54	
.	2955	1467	15	54	
My	849	1525	97	58	
faith	985	1526	115	58	
looks	1153	1527	135	59	
up	1323	1529	65	59	
.	1400	1530	17	58	
.	1430	1530	17	58	
.	1459	1531	17	58	
.	1489	1531	17	58	
.	1518	1532	17	58	
.	1548	1532	17	58	
.	1577	1532	17	58	
.	1607	1532	17	58	
.	1636	1533	17	58	
.	1666	1533	17	58	
.	1695	1534	17	58	
.	1725	1533	17	58	
.	1754	1533	17	58	
.	1784	1534	17	58	
.	1814	1531	13	48	
.	1848	1531	13	48	
.	1877	1530	13	48	
.	1907	1530	13	48	
186	1963	1530	69	48	
The	2153	1532	96	61	
comforter	2293	1531	254	60	
has	2599	1529	89	62	
come	2734	1528	139	62	
.	2869	1527	17	62	
.	2900	1527	17	62	
My	849	1592	95	59	
Jesus	988	1592	138	58	
,	1122	1593	16	58	
I	1193	1593	16	58	
love	1258	1593	104	58	
thee	1403	1593	102	59	
.	1517	1594	16	58	
.	1553	1594	16	58	
.	1582	1594	16	58	
.	1612	1594	16	58	
.	1641	1594	16	58	
.	1671	1594	16	58	
.	1700	1595	16	58	
.	1730	1594	16	58	
.	1759	1594	16	58	
.	1849	1601	12	40	
.	1878	1601	12	40	
.	1907	1602	12	40	
129	1962	1604	82	43	
The	2150	1605	92	49	
lamb	2304	1604	117	49	
that	2482	1603	100	49	
strayed	2644	1602	177	49	
.	2840	1600	14	50	
.	2871	1600	14	50	
.	2901	1600	14	50	
My	845	1660	102	62	
Lord	992	1659	121	61	
and	1166	1658	88	62	
I	1312	1657	17	62	
.	1337	1657	17	62	
.	1369	1657	17	62	
.	1400	1656	17	62	
.	1877	1671	11	42	
.	1908	1671	11	42	
104	1969	1671	72	42	
The	2151	1668	91	57	
fight	2284	1667	115	57	
is	2430	1666	31	58	
on	2504	1666	43	57	
.	2570	1665	16	58	
.	2600	1665	16	58	
.	2629	1665	16	58	
.	2659	1665	16	58	
.	2694	1664	16	58	
.	2724	1664	16	58	
.	2753	1664	16	58	
.	2783	1664	16	58	
.	2812	1664	16	58	
