content	x	y	w	h	
No	796	365	131	141	
.	918	366	42	140	
50	986	366	104	141	
.	1087	367	42	140	
BEWARE	1240	368	433	142	
OF	1733	371	105	140	
THE	1931	372	181	140	
WINE	2168	373	301	141	
.	2470	375	42	140	
J	2207	535	20	72	
.	2228	535	20	72	
CALVIN	2264	536	228	73	
BUSHEY	2527	537	248	73	
.	2776	539	20	72	
Rev	491	532	87	77	
.	589	532	22	77	
J	636	531	22	77	
.	660	531	22	77	
H	706	531	22	77	
.	745	531	22	77	
MARTIN	780	530	238	76	
,	1026	529	22	77	
D	1081	529	22	77	
.	1112	529	22	77	
D	1135	528	22	77	
.	1167	528	22	77	
HT	1002	647	341	82	
1	706	920	21	74	
Be	810	920	54	74	
-	909	921	21	74	
ware	969	921	125	75	
of	1113	922	41	74	
the	1165	922	74	75	
wine	1246	923	121	74	
when	1374	923	125	75	
its	1518	924	53	75	
col	1630	925	64	74	
-	1696	925	21	74	
or	1728	926	41	74	
is	1788	926	41	74	
bright	1837	926	152	75	
,	1981	927	21	74	
When	2008	927	136	75	
it	2173	928	28	74	
spar	2215	928	104	75	
-	2319	929	21	74	
kles	2340	929	96	74	
and	2445	930	84	74	
flashes	2559	930	150	75	
and	2737	931	85	75	
2	705	988	21	74	
A	810	988	21	74	
-	923	989	21	74	
las	1017	989	64	75	
!	1088	990	21	74	
like	1112	990	99	74	
a	1223	991	21	74	
ser	1284	991	64	74	
-	1350	991	21	74	
pent	1382	992	96	74	
with	1485	992	100	75	
poisonous	1622	993	216	75	
breath	1854	994	128	75	
,	1995	995	21	74	
Its	2027	995	53	74	
form	2217	996	76	75	
is	2367	997	28	74	
imbued	2465	998	158	75	
with	2643	999	97	74	
the	2762	999	74	75	
3	710	1053	17	62	
As	797	1053	69	62	
Sa	1016	1057	51	70	
-	1074	1058	20	69	
tan	1103	1058	69	69	
so	1215	1059	38	69	
art	1282	1059	69	69	
-	1354	1059	20	69	
ful	1390	1060	59	69	
,	1452	1060	20	69	
so	1498	1060	26	69	
cunning	1593	1061	184	70	
and	1786	1062	79	69	
wise	1886	1062	102	70	
,	1991	1063	20	69	
Do	2038	1063	51	69	
-	2131	1064	20	69	
ceived	2188	1064	129	70	
the	2359	1065	69	69	
first	2443	1066	84	69	
woman	2537	1066	168	70	
in	2758	1067	26	70	
shun	998	1120	101	73	
the	1115	1121	72	72	
de	1206	1122	54	72	
-	1267	1122	20	72	
ceiv	1279	1122	94	72	
-	1384	1123	20	72	
er	1399	1123	40	72	
,	1442	1123	20	72	
be	1484	1123	53	72	
-	1537	1123	20	72	
witching	1576	1124	202	73	
and	1801	1125	82	72	
gay	1903	1126	82	72	
,	1982	1126	20	72	
Nor	2036	1126	81	73	
tread	2188	1127	116	73	
with	2320	1128	95	72	
the	2443	1129	73	72	
drunkard	2528	1129	221	73	
the	2764	1130	73	73	
foams	674	1919	143	72	
in	874	1920	27	72	
the	966	1920	73	72	
light	1064	1921	113	72	
;	1177	1921	20	72	
No	1267	1922	66	72	
ob	1460	1923	53	72	
-	1542	1923	20	72	
ject	1579	1924	83	72	
so	1718	1924	40	73	
tempt	1798	1925	139	73	
-	1929	1926	20	72	
ing	1952	1926	72	72	
,	2024	1926	20	72	
so	2090	1927	40	72	
charming	2185	1927	207	73	
and	2416	1928	83	73	
fine	2517	1929	87	72	
,	2593	1929	20	72	
As	2625	1930	65	72	
the	2733	1930	72	73	
spir	698	1988	78	69	
-	816	1988	20	69	
it	873	1989	38	69	
of	968	1989	51	69	
death	1043	1990	127	69	
;	1180	1990	20	69	
À	1292	1991	20	69	
fev	1459	1996	59	69	
-	1549	1997	20	69	
er	1599	1997	38	69	
that	1697	1997	97	70	
rag	1816	1998	79	69	
-	1920	1999	20	69	
es	1963	1999	38	69	
,	2004	1999	20	69	
it	2089	2000	38	69	
burns	2177	2000	138	70	
up	2331	2001	51	69	
the	2404	2001	69	70	
frame	2488	2002	148	70	
,	2620	2003	20	69	
Con	2674	2003	99	69	
pleas	681	2054	126	77	
-	823	2054	22	77	
ing	867	2055	65	77	
dis	965	2055	66	77	
-	1033	2056	22	77	
guise	1058	2056	113	77	
,	1174	2056	22	77	
So	1285	2057	42	77	
wine	1428	2060	120	74	
,	1548	2061	21	74	
as	1591	2061	55	74	
a	1735	2062	21	74	
mock	1788	2062	117	74	
-	1930	2063	21	74	
er	1969	2063	41	74	
,	2013	2063	21	74	
a	2088	2064	21	74	
cheat	2187	2064	126	75	
,	2305	2065	21	74	
and	2337	2065	74	74	
a	2440	2066	21	74	
lie	2512	2066	43	74	
,	2560	2066	21	74	
Al	2694	2067	68	74	
smooth	675	2128	148	54	
downward	849	2129	246	55	
way	1118	2130	108	55	
,	1227	2131	15	54	
That	1269	2131	103	54	
leads	1434	2132	120	54	
to	1596	2133	30	54	
the	1722	2134	63	54	
grave	1801	2134	140	55	
,	1936	2135	15	54	
and	1966	2135	77	54	
more	2058	2135	123	55	
dreadful	2202	2136	199	55	
to	2432	2138	30	54	
tell	2501	2138	76	54	
,	2580	2138	15	54	
Is	2701	2139	30	54	
A	1475	2187	20	72	
.	1512	2187	20	72	
AAA	1570	2188	327	74	
AA	1942	2190	211	73	
AAA	2190	2191	287	73	
A	2527	2193	20	72	
.	2570	2193	20	72	
CHORUS	1963	2540	242	59	
flow	702	2936	73	69	
-	820	2936	20	69	
ing	859	2937	59	69	
bright	947	2937	139	70	
gob	1098	2938	69	69	
-	1191	2938	20	69	
let	1230	2939	49	69	
,	1278	2939	20	69	
the	1335	2939	69	70	
rich	1458	2940	80	69	
ru	1619	2941	38	69	
-	1688	2941	20	69	
by	1735	2942	51	69	
wine	1814	2942	119	70	
.	1933	2943	20	69	
)	1996	2943	20	69	
