content	x	y	w	h	
46	417	253	55	67	
THE	1700	259	106	74	
MELLOW	1844	260	240	76	
HORN	2150	263	154	75	
.	2312	265	22	74	
Lively	566	291	91	41	
.	663	292	11	40	
Arr	3078	304	56	39	
.	3138	306	11	38	
From	3169	306	77	39	
an	3275	308	37	39	
English	3337	309	122	40	
Song	3480	311	82	40	
.	3567	313	11	38	
1	630	508	13	48	
At	685	508	45	49	
dawn	734	509	94	49	
Au	870	510	53	48	
-	953	511	13	48	
ro	986	511	36	49	
s	1056	512	13	48	
ra	1099	512	35	49	
gai	1158	513	55	48	
–	1227	514	13	48	
ly	1251	514	34	48	
breaks	1298	514	123	50	
,	1418	516	13	48	
In	1444	516	27	48	
all	1501	517	41	48	
her	1582	517	55	49	
proud	1662	518	95	49	
attire	1814	520	128	49	
,	1947	521	13	48	
Ma	2062	518	55	51	
-	2118	519	15	50	
jes	2141	519	44	50	
-	2194	520	15	50	
tic	2226	520	36	50	
o	2286	520	15	50	
'	2306	521	15	50	
er	2323	521	28	50	
the	2384	521	58	51	
glas	2479	522	68	51	
-	2566	523	15	50	
sy	2601	524	38	50	
lake	2686	525	71	50	
,	2754	525	15	50	
Re	2822	526	47	50	
-	2866	526	15	50	
flect	2890	527	67	50	
-	2963	527	15	50	
ing	2979	527	51	51	
li	3087	529	28	50	
-	3157	529	15	50	
quid	3211	530	72	50	
fire	3303	531	59	50	
:	3371	531	15	50	
All	3501	534	55	38	
De	554	662	35	5	
2	626	1023	13	47	
At	685	1023	43	48	
eve	745	1024	53	47	
when	837	1025	85	48	
gloom	951	1026	82	48	
-	1063	1027	13	47	
y	1087	1027	13	47	
shades	1131	1028	108	48	
ob	1260	1029	27	47	
-	1298	1030	13	47	
scure	1313	1030	92	47	
The	1422	1031	60	47	
tran	1496	1032	65	47	
-	1571	1032	13	47	
quil	1585	1032	64	48	
shep	1662	1033	77	48	
-	1744	1034	13	47	
herds	1760	1034	94	48	
cot	1878	1035	46	48	
,	1927	1036	13	47	
When	2016	1037	91	48	
tink	2129	1038	61	47	
-	2200	1039	13	47	
ling	2216	1039	67	47	
bells	2293	1040	82	47	
are	2391	1041	54	47	
heard	2456	1041	99	48	
no	2588	1043	34	47	
more	2666	1043	87	48	
,	2752	1044	13	47	
And	2802	1045	67	47	
dai	2895	1046	54	47	
-	2963	1046	13	47	
ly	2993	1047	26	47	
toil	3080	1047	59	48	
for	3200	1049	39	47	
get	3289	1050	53	47	
,	3343	1050	13	47	
'	3472	1051	13	47	
Tis	3490	1052	48	47	
HE	510	1502	22	51	
na	608	1663	44	47	
–	678	1663	14	47	
ture	713	1664	66	48	
smiles	791	1665	106	48	
to	972	1667	26	47	
ush	1042	1668	54	47	
-	1124	1670	14	47	
er	1164	1670	26	47	
in	1273	1671	28	47	
The	1373	1672	61	48	
blush	1445	1673	86	49	
-	1561	1675	14	47	
ing	1596	1676	47	47	
queen	1671	1676	90	48	
of	1823	1679	36	47	
morn	1866	1679	94	48	
,	1969	1680	14	47	
And	2057	1681	68	48	
huntsmen	2134	1682	165	50	
with	2331	1685	69	48	
the	2458	1686	54	48	
day	2535	1688	61	47	
be	2653	1689	44	47	
-	2732	1690	14	47	
gin	2779	1690	48	48	
To	2895	1693	35	47	
wind	2945	1693	83	48	
the	3047	1694	56	48	
mel	3119	1695	75	48	
-	3203	1696	14	47	
low	3233	1697	47	47	
horn	3307	1698	74	47	
.	3390	1699	14	47	
then	593	2181	73	48	
the	702	2184	60	47	
sweet	810	2187	96	46	
en	986	2189	26	48	
-	1027	2191	14	46	
chant	1040	2191	103	48	
-	1140	2193	14	46	
ing	1155	2193	53	47	
note	1240	2195	74	48	
|	1330	2197	15	50	
On	1375	2197	48	51	
zeph	1460	2198	78	51	
-	1558	2199	15	50	
yrs	1582	2199	58	51	
gent	1679	2200	80	51	
-	1777	2201	15	50	
ly	1814	2202	28	50	
borne	1857	2202	101	51	
,	1960	2203	15	50	
With	2043	2210	83	43	
watch	2138	2212	97	42	
-	2247	2213	12	41	
ing	2259	2214	54	42	
ca	2355	2215	31	41	
-	2403	2216	12	41	
dence	2425	2217	96	42	
seems	2536	2218	105	43	
to	2653	2220	31	41	
float	2746	2221	71	43	
A	2881	2224	12	41	
-	2907	2224	12	41	
round	2922	2224	102	43	
the	3036	2226	60	42	
mel	3109	2228	71	41	
s	3188	2229	12	41	
low	3218	2229	48	41	
horn	3286	2231	75	41	
.	3373	2232	12	41	
The	3491	2229	60	42	
The	1229	2428	58	40	
echo	1303	2430	70	40	
can	1394	2431	53	41	
be	1465	2432	39	40	
made	1515	2433	96	42	
by	1625	2435	39	40	
humming	1684	2435	156	43	
the	1857	2438	53	42	
passage	1930	2440	132	42	
with	2075	2442	71	41	
the	2168	2443	53	42	
lips	2240	2445	59	41	
closed	2316	2446	98	42	
,	2416	2448	12	40	
and	2447	2448	58	42	
teeth	2525	2450	74	41	
apart	2627	2451	93	42	
.	2719	2453	12	40	
