content	x	y	w	h	
.	710	295	29	100	
16	768	295	75	100	
Treasures	1447	267	491	138	
of	1997	273	99	134	
heaven	2146	275	349	136	
.	2506	279	40	132	
T	889	422	18	64	
.	915	422	18	64	
C	954	422	18	64	
.	980	422	18	64	
O	1025	422	18	64	
'	1051	421	18	64	
K	1077	421	18	64	
.	1123	421	18	64	
T	2527	431	20	70	
.	2556	431	20	70	
C	2599	431	20	70	
.	2627	431	20	70	
O	2670	431	20	70	
'	2691	431	20	70	
KANE	2709	431	158	70	
.	2868	431	20	70	
By	2941	430	65	70	
per	3028	430	78	70	
.	3110	430	20	70	
-	2515	530	18	64	
-	2541	530	18	64	
Тата	2643	575	32	137	
TOTO	2853	572	29	130	
1	837	751	17	60	
.	861	751	17	60	
There	922	751	162	60	
'	1093	751	17	60	
s	1111	751	17	60	
a	1154	751	17	60	
crown	1206	751	177	61	
in	1411	752	34	60	
heav	1475	752	141	60	
'	1624	752	17	60	
n	1648	752	17	60	
for	1702	752	85	60	
the	1806	752	86	61	
striving	1916	753	226	60	
soul	2164	753	130	60	
,	2289	753	17	60	
Which	2312	753	179	60	
the	2526	753	86	60	
blessed	2624	753	212	61	
Jesus	2873	753	146	60	
him	3030	754	136	60	
2	835	816	17	62	
.	860	816	17	62	
There	925	816	155	61	
'	1093	815	17	62	
s	1118	815	17	62	
a	1162	815	17	62	
joy	1217	815	80	62	
in	1324	815	45	62	
heav	1393	815	148	61	
'	1540	814	17	62	
n	1565	814	17	62	
for	1620	814	80	62	
the	1721	814	89	62	
mourning	1822	814	299	61	
soul	2143	813	120	62	
,	2258	813	17	62	
Tho	2310	813	98	62	
'	2416	812	17	62	
the	2452	812	97	62	
tears	2565	812	140	62	
may	2716	812	133	62	
fall	2867	812	101	61	
all	2982	811	80	62	
the	3082	811	89	62	
3	836	876	16	58	
.	860	876	16	58	
There	925	876	161	58	
'	1096	876	16	58	
s	1120	876	16	58	
a	1167	876	16	58	
home	1211	876	168	59	
in	1401	877	42	58	
heav	1476	877	138	58	
'	1627	877	16	58	
n	1651	877	16	58	
for	1708	877	83	58	
the	1812	877	91	59	
faithful	1930	878	238	58	
soul	2191	878	119	58	
,	2311	878	16	58	
In	2374	878	43	58	
the	2461	878	91	58	
many	2561	878	171	58	
mansions	2746	879	291	58	
pre	3055	879	110	58	
20	2719	960	188	35	
.	2890	959	9	35	
self	1021	1559	101	73	
will	1147	1558	115	74	
place	1296	1558	144	74	
On	1485	1558	81	73	
the	1621	1557	95	74	
head	1747	1557	146	74	
of	1926	1557	54	74	
each	2008	1556	115	74	
who	2157	1556	126	74	
shall	2308	1556	139	73	
faithful	2473	1555	245	74	
prove	2733	1555	165	74	
,	2902	1554	21	74	
E	2955	1554	21	74	
-	3007	1554	21	74	
ven	3040	1554	95	74	
earth	1017	1632	140	57	
-	1175	1631	16	58	
ly	1197	1631	43	58	
night	1275	1631	167	58	
;	1452	1631	16	58	
Yet	1494	1631	108	57	
the	1628	1630	82	58	
clouds	1737	1630	194	58	
of	1948	1630	64	57	
sad	2047	1629	83	58	
-	2142	1629	16	58	
ness	2158	1629	128	58	
will	2306	1629	124	58	
break	2447	1628	167	58	
a	2656	1628	16	58	
-	2697	1628	16	58	
way	2727	1628	125	58	
,	2856	1628	16	58	
And	2892	1627	125	58	
re	3054	1627	73	58	
pared	976	1687	162	73	
a	1198	1686	21	74	
-	1228	1686	21	74	
bove	1246	1686	143	74	
,	1385	1686	21	74	
Where	1417	1686	201	73	
the	1642	1685	84	74	
glo	1774	1685	84	74	
-	1880	1685	21	74	
ri	1924	1685	54	74	
-	1993	1684	21	74	
fied	2035	1684	86	74	
shall	2174	1684	138	74	
for	2335	1684	85	74	
-	2442	1683	21	74	
ev	2493	1683	54	74	
-	2592	1683	21	74	
er	2635	1683	55	74	
sing	2733	1683	117	74	
,	2862	1683	21	74	
